name,orcid_url,orcid,item_url,qid
Nicholas O Markham,https://orcid.org/0000-0002-1348-1267,0000-0002-1348-1267,http://www.wikidata.org/entity/Q92809418,Q92809418
Andrew T Hale,https://orcid.org/0000-0003-3182-2966,0000-0003-3182-2966,http://www.wikidata.org/entity/Q92838894,Q92838894
Tomoyuki Oe,https://orcid.org/0000-0002-3893-0815,0000-0002-3893-0815,http://www.wikidata.org/entity/Q48714621,Q48714621
Natalí L. Chanaday,https://orcid.org/0000-0002-3376-5187,0000-0002-3376-5187,http://www.wikidata.org/entity/Q52145607,Q52145607
Chongle Pan,https://orcid.org/0000-0003-2860-0334,0000-0003-2860-0334,http://www.wikidata.org/entity/Q46162356,Q46162356
Brian A. McCool,https://orcid.org/0000-0002-1002-9435,0000-0002-1002-9435,http://www.wikidata.org/entity/Q42121868,Q42121868
Jordan A Bley,https://orcid.org/0000-0001-7550-0147,0000-0001-7550-0147,http://www.wikidata.org/entity/Q57034301,Q57034301
Gedeon O. Deák,https://orcid.org/0000-0001-8656-8796,0000-0001-8656-8796,http://www.wikidata.org/entity/Q46410081,Q46410081
Daniel S Perrien,https://orcid.org/0000-0002-5488-3932,0000-0002-5488-3932,http://www.wikidata.org/entity/Q56192217,Q56192217
Lu Yin,https://orcid.org/0000-0001-9596-3325,0000-0001-9596-3325,http://www.wikidata.org/entity/Q52291966,Q52291966
Damjana Rozman,https://orcid.org/0000-0002-6501-2163,0000-0002-6501-2163,http://www.wikidata.org/entity/Q42397402,Q42397402
Feixiong Cheng,https://orcid.org/0000-0002-1736-2847,0000-0002-1736-2847,http://www.wikidata.org/entity/Q47168118,Q47168118
Jason Hammonds,https://orcid.org/0000-0002-1649-9008,0000-0002-1649-9008,http://www.wikidata.org/entity/Q55464753,Q55464753
Serk In Park,https://orcid.org/0000-0001-8643-5096,0000-0001-8643-5096,http://www.wikidata.org/entity/Q49643652,Q49643652
Upul Deepthike,https://orcid.org/0000-0001-9451-2258,0000-0001-9451-2258,http://www.wikidata.org/entity/Q46478044,Q46478044
Jennifer A Kearney,https://orcid.org/0000-0003-1726-4769,0000-0003-1726-4769,http://www.wikidata.org/entity/Q30506355,Q30506355
Charles Matthews,https://orcid.org/0000-0001-8037-3103,0000-0001-8037-3103,http://www.wikidata.org/entity/Q43167428,Q43167428
Rachel L Graham,https://orcid.org/0000-0002-3143-6515,0000-0002-3143-6515,http://www.wikidata.org/entity/Q56863434,Q56863434
Bryan R Helm,https://orcid.org/0000-0003-3386-7842,0000-0003-3386-7842,http://www.wikidata.org/entity/Q42697830,Q42697830
Warren E. Zimmer,https://orcid.org/0000-0002-0668-6096,0000-0002-0668-6096,http://www.wikidata.org/entity/Q42722649,Q42722649
Kate Ellacott,https://orcid.org/0000-0001-5261-7465,0000-0001-5261-7465,http://www.wikidata.org/entity/Q42613263,Q42613263
Emad M El-Omar,https://orcid.org/0000-0002-0011-3924,0000-0002-0011-3924,http://www.wikidata.org/entity/Q55089384,Q55089384
David Shisler,https://orcid.org/0000-0002-7280-3887,0000-0002-7280-3887,http://www.wikidata.org/entity/Q57052903,Q57052903
Joshua A Cohn,https://orcid.org/0000-0002-4953-3321,0000-0002-4953-3321,http://www.wikidata.org/entity/Q57068050,Q57068050
David Carbone,https://orcid.org/0000-0003-3002-1921,0000-0003-3002-1921,http://www.wikidata.org/entity/Q57107777,Q57107777
Bertrand Blondeau,https://orcid.org/0000-0002-1106-1509,0000-0002-1106-1509,http://www.wikidata.org/entity/Q54410341,Q54410341
Karoly Mirnics,https://orcid.org/0000-0002-5521-0254,0000-0002-5521-0254,http://www.wikidata.org/entity/Q42932552,Q42932552
Xiangjian Zheng,https://orcid.org/0000-0001-6277-5168,0000-0001-6277-5168,http://www.wikidata.org/entity/Q42837449,Q42837449
Todd Bartkowiak,https://orcid.org/0000-0003-2396-0197,0000-0003-2396-0197,http://www.wikidata.org/entity/Q55459016,Q55459016
Taewan Kim,https://orcid.org/0000-0002-7202-009X,0000-0002-7202-009X,http://www.wikidata.org/entity/Q47227888,Q47227888
Aubie Shaw,https://orcid.org/0000-0002-5298-801X,0000-0002-5298-801X,http://www.wikidata.org/entity/Q47982810,Q47982810
Richard H. Epstein,https://orcid.org/0000-0001-8466-3845,0000-0001-8466-3845,http://www.wikidata.org/entity/Q37838510,Q37838510
Janet S. Carpenter,https://orcid.org/0000-0003-3988-8855,0000-0003-3988-8855,http://www.wikidata.org/entity/Q55896660,Q55896660
Joshua Borycz,https://orcid.org/0000-0002-1505-148X,0000-0002-1505-148X,http://www.wikidata.org/entity/Q51575056,Q51575056
Robert Margo,https://orcid.org/0000-0003-2709-7490,0000-0003-2709-7490,http://www.wikidata.org/entity/Q1460973,Q1460973
Elizabeth T. Ables,https://orcid.org/0000-0002-6934-9302,0000-0002-6934-9302,http://www.wikidata.org/entity/Q49460479,Q49460479
Mehmed Özkan,https://orcid.org/0000-0003-2492-8113,0000-0003-2492-8113,http://www.wikidata.org/entity/Q50865186,Q50865186
Leonard A. Harris,https://orcid.org/0000-0003-2112-6940,0000-0003-2112-6940,http://www.wikidata.org/entity/Q41044300,Q41044300
