qid,label_en,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_object_has_role,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
,Baptistery of Kelisa-e-Vank,architectural structure,,49939,,,2022-01-13,,,,,,,,,,,Baptistery of Kelisa-e-Vank,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49939,,2022-01-13,,,,1635-01-01T00:00:00Z,9,,1606-01-01T00:00:00Z,9,,1664-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49939,,2022-01-13,,,Q794,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49939,,2022-01-13,,,,,,,,,,,,Baptistère kelisa-e-vank esfahan.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49939,,2022-01-13,,,,,,,,
,"Battle for soul at death, from the Grandes Heures de Rohan",manuscript by 15th cent. Rohan Master,,55136,,,2022-01-13,,,,,,,,,,,"Battle for soul at death, from the Grandes Heures de Rohan",,,,,,,,,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55136,,2022-01-13,,,,1432-01-01T00:00:00Z,9,,1430-01-01T00:00:00Z,9,,1435-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55136,,2022-01-13,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55136,,2022-01-13,,,,,,,,,,,,"Le Mort devant son juge, Maitre de Rohan.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55136,,2022-01-13,,,,,,,,
,Bell Tower Clock,architectural structure,,57247,,,2022-01-13,,,,,,,,,,,Bell Tower Clock,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57247,,2022-01-13,,,,1968-01-01T00:00:00Z,9,,1967-01-01T00:00:00Z,9,,1970-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57247,,2022-01-13,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57247,,2022-01-13,,,,,,,,,,,,Todtnau - St. Jakobus der Ältere3.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57247,,2022-01-13,,,,,,,,
,Cathedral of Our Lady of Peace,architectural structure by artist unknown,,57399,,,2022-01-13,,,,,,,,,,,Cathedral of Our Lady of Peace,,,,,,,_:,Q4233718,,"https://commons.wikimedia.org/wiki/File:Church_in_Fort_Lamy,_Chad.jpg",,2022-01-13,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57399,,2022-01-13,,,,1965-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57399,,2022-01-13,,,,,,,,,,,,,,,,,,,"Church in Fort Lamy, Chad.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57399,,2022-01-13,,,,,,,,
,Charity to Street Arab,print,,55368,,,2022-01-13,,,,,,,,,,,Charity to Street Arab,,,,,,,,,,,,,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55368,,2022-01-13,,,,1884-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55368,,2022-01-13,,,,,,,,,,Q19652,Q60332278,Q29940705,,https://commons.wikimedia.org/wiki/File:Charity_to_Street_Arab.jpg,,2022-01-13,,,Charity to Street Arab.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55368,,2022-01-13,,,,,,,,
,Christ and the Samaritan Woman,fresco by Manuel Panselinos,,54763,,,2022-01-13,,,,,,,,,,,Christ and the Samaritan Woman,,,,,,,Q1151590,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54763,,2022-01-13,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54763,,2022-01-13,,,,1300-01-01T00:00:00Z,9,,1290-01-01T00:00:00Z,9,,1310-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54763,,2022-01-13,,,,,,,,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Photina_of_Protat.JPG,,2022-01-13,,,Photina of Protat.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54763,,2022-01-13,,,,,,,,
,Christ and the Woman with the Issue of Blood,fresco by artist unknown,,58325,,,2022-01-13,,,,,,,,,,,Christ and the Woman with the Issue of Blood,,,,,,,_:,Q4233718,,https://commons.wikimedia.org/wiki/File:Healing_of_a_bleeding_women_Marcellinus-Peter-Catacomb.jpg,,2022-01-13,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58325,,2022-01-13,,,,0350-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58325,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58325,,2022-01-13,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Healing_of_a_bleeding_women_Marcellinus-Peter-Catacomb.jpg,,2022-01-13,,,Healing of a bleeding women Marcellinus-Peter-Catacomb.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58325,,2022-01-13,,,,,,,,
,Christ Before Caiaphas,painting by Matthias Stomer,,55279,,,2022-01-13,,,,,,,,,,,Christ Before Caiaphas,,,,,,,Q949627,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55279,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55279,,2022-01-13,,,,0000-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55279,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55279,,2022-01-13,,,,,,,,,,,,"Mattias Stom, Christ before Caiaphas.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55279,,2022-01-13,,,Q325712,,"https://commons.wikimedia.org/wiki/File:Mattias_Stom,_Christ_before_Caiaphas.jpg",,2022-01-13,
,Christ Pantocrator,mosaic by artist unknown,,46638,,,2022-01-13,,,,,,,,,,,Christ Pantocrator,,,,,,,_:,Q4233718,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_1020_001.jpg,,2022-01-13,,,Q133067,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46638,,2022-01-13,,,,1020-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46638,,2022-01-13,,,Q43,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46638,,2022-01-13,,,,,,,,,,,,Byzantinischer Mosaizist um 1020 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46638,,2022-01-13,,,Q12506,,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_um_1020_001.jpg,,2022-01-13,
,Christ with Beard,fresco,,49950,,,2022-01-13,,,,,,,,,,,Christ with Beard,,,,,,,,,,,,,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49950,,2022-01-13,,,,0350-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49950,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49950,,2022-01-13,,,,,,,,,,,,Christ with beard.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49950,,2022-01-13,,,,,,,,
