qid,commons_template,label_en,label_commons,description_en,act_uuid,act,act_ref1_hash,act_ref1_retrieved_nodeId,act_ref1_retrieved_val,act_ref1_retrieved_prec,inventory_number_uuid,inventory_number,inventory_number_collection,inventory_number_ref1_hash,inventory_number_ref1_referenceUrl,inventory_number_ref1_retrieved_nodeId,inventory_number_ref1_retrieved_val,inventory_number_ref1_retrieved_prec,title_uuid,title,title_ref1_hash,title_ref1_referenceUrl,title_ref1_retrieved_nodeId,title_ref1_retrieved_val,title_ref1_retrieved_prec,creator_uuid,creator,creator_ref1_hash,creator_ref1_referenceUrl,creator_ref1_retrieved_nodeId,creator_ref1_retrieved_val,creator_ref1_retrieved_prec,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,inception_uuid,inception_nodeId,inception_val,inception_prec,inception_earliest_date_nodeId,inception_earliest_date_val,inception_earliest_date_prec,inception_latest_date_nodeId,inception_latest_date_val,inception_latest_date_prec,inception_sourcing_circumstances,inception_ref1_hash,inception_ref1_referenceUrl,inception_ref1_retrieved_nodeId,inception_ref1_retrieved_val,inception_ref1_retrieved_prec,country_of_origin_uuid,country_of_origin,country_of_origin_ref1_hash,country_of_origin_ref1_referenceUrl,country_of_origin_ref1_retrieved_nodeId,country_of_origin_ref1_retrieved_val,country_of_origin_ref1_retrieved_prec,copyright_status_uuid,copyright_status,copyright_status_applies_to_jurisdiction,copyright_status_determination_method,copyright_status_ref1_hash,copyright_status_ref1_referenceUrl,copyright_status_ref1_retrieved_nodeId,copyright_status_ref1_retrieved_val,copyright_status_ref1_retrieved_prec,image_uuid,image,image_ref1_hash,image_ref1_referenceUrl,image_ref1_retrieved_nodeId,image_ref1_retrieved_val,image_ref1_retrieved_prec,collection_uuid,collection,collection_ref1_hash,collection_ref1_referenceUrl,collection_ref1_retrieved_nodeId,collection_ref1_retrieved_val,collection_ref1_retrieved_prec
,artwork,Judgment of Solomon,,painting by Ingobertus,,48978,,,2022-01-13,,,,,,,,,,,,,,,,,,Q26248636,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48978,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48978,,2022-01-13,,,,0880-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48978,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48978,,2022-01-13,,,,,,,,,,,,Ingobertus 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=48978,,2022-01-13,,,Q231699,,https://commons.wikimedia.org/wiki/File:Ingobertus_001.jpg,,2022-01-13,
,information,Job and His Friends,Kievan Psalter,manuscript by artist unknown,,57646,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Kievskaya_psaltir_iov_02.jpg,,2022-01-13,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57646,,2022-01-13,,,,1397-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57646,,2022-01-13,,,Q159,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57646,,2022-01-13,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Kievskaya_psaltir_iov_02.jpg,,2022-01-13,,,Kievskaya psaltir iov 02.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57646,,2022-01-13,,,,,,,,
,none,Device to Root out Evil,,sculpture by Dennis Oppenheim,,55721,,,2022-01-13,,,,,,,,,,,,,,,,,,Q439856,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55721,,2022-01-13,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55721,,2022-01-13,,,,1997-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55721,,2022-01-13,,,Q16,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55721,,2022-01-13,,,,,,,,,,,,Device to Root out Evil.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55721,,2022-01-13,,,,,,,,
,artwork,Prophet Hosea,,painting by Duccio di Buoninsegna,,46447,,,2022-01-13,,,,,,,,,,,,,,,,,,Q15792,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46447,,2022-01-13,,,Q3305213,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_063.jpg,,2022-01-13,,,,1309-01-01T00:00:00Z,9,,1308-01-01T00:00:00Z,9,,1311-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46447,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46447,,2022-01-13,,,,,,,,,,,,Duccio di Buoninsegna 063.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46447,,2022-01-13,,,,,https://commons.wikimedia.org/wiki/File:Duccio_di_Buoninsegna_063.jpg,,2022-01-13,
,artwork,Christ Before Caiaphas,Christ before Caiaphas,painting by Matthias Stomer,,55279,,,2022-01-13,,,,,,,,,,,,,,,,,,Q949627,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55279,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55279,,2022-01-13,,,,0000-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55279,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55279,,2022-01-13,,,,,,,,,,,,"Mattias Stom, Christ before Caiaphas.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55279,,2022-01-13,,,Q325712,,"https://commons.wikimedia.org/wiki/File:Mattias_Stom,_Christ_before_Caiaphas.jpg",,2022-01-13,
,information,Apostasia,,graffiti,,55634,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q93184,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,,2022-01-13,,,,2007-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,,2022-01-13,,,Q29,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,,2022-01-13,,,,,,,,,,,,Apostasialogo.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55634,,2022-01-13,,,,,,,,
,artwork,Fugitive Slaves in the Dismal Swamp,"Fugitive Slaves in the Dismal Swamp, Virginia label QS:Len,""Fugitive Slaves in the Dismal Swamp, Virginia"" label QS:Lde,""Geflohene Sklaven im Sumpfland Great Dismal Swamp von Virginia""",painting by David Edward Cronin,,55483,,,2022-01-13,,,,,,,,,,,,,,,,,,Q1174304,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55483,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55483,,2022-01-13,,,,1888-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55483,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55483,,2022-01-13,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Great_Dismal_Swamp-Fugitive_Slaves.jpg,,2022-01-13,,,Great Dismal Swamp-Fugitive Slaves.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55483,,2022-01-13,,,Q1059456,,https://commons.wikimedia.org/wiki/File:Great_Dismal_Swamp-Fugitive_Slaves.jpg,,2022-01-13,
,artwork,Under the Wave off Kanagawa,,print by Hokusai Katsushika,,58624,,,2022-01-13,,,,,,,,,,,,,,,,,,Q5586,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58624,,2022-01-13,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58624,,2022-01-13,,,,1831-01-01T00:00:00Z,9,,1829-01-01T00:00:00Z,9,,1833-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58624,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58624,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,The Great Wave off Kanagawa.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58624,,2022-01-13,,,,,,,,
,none,Interior of the Church of the Light,,architectural structure by Tadao Andō,,55848,,,2022-01-13,,,,,,,,,,,,,,,,,,Q208220,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55848,,2022-01-13,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55848,,2022-01-13,,,,1999-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55848,,2022-01-13,,,Q17,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55848,,2022-01-13,,,,,,,,,,,,Church of Light.JPG,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55848,,2022-01-13,,,,,,,,
,information,Cueva de las Manos,"Hands at the Cuevas de las Manos upon Río Pinturas, near the town of Perito Moreno in Santa Cruz Province, Argentina . Picture taken by me in 2005.",mural,,58826,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:SantaCruz-CuevaManos-P2210651b.jpg,,2022-01-13,,,Q219423,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58826,,2022-01-13,,,,5500-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58826,,2022-01-13,,,Q414,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58826,,2022-01-13,,,,,,,,,,,,SantaCruz-CuevaManos-P2210651b.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58826,,2022-01-13,,,,,,,,
,information,Rossano Gospels - Christ before Pilate,Illumination of Christ before Pilate,manuscript,,54506,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54506,,2022-01-13,,,,0550-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54506,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54506,,2022-01-13,,,,,,,,,,,,RossanoGospelsChristBeforePilate.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54506,,2022-01-13,,,,,,,,
,information,"Hannah, prophetess and mother of Samuel, thanking God",,manuscript by artist unknown,,55161,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Anne_BnF_Grec_139_fol._428v.jpg,,2022-01-13,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55161,,2022-01-13,,,,0950-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55161,,2022-01-13,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55161,,2022-01-13,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Anne_BnF_Grec_139_fol._428v.jpg,,2022-01-13,,,Anne BnF Grec 139 fol. 428v.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55161,,2022-01-13,,,,,,,,
,information," Rankin House on Liberty Hill in Ripley, home of Abolitionist John Rankin","The Rankin House on Liberty Hill in Ripley, home of Abolitionist John Rankin, 2005, by Rick Dikeman ""There in Ripley was a man named Mr. Rankins; I think the rest of his name was John. He had a regular station there on his place for escaping slaves....He had a big lighthouse in his yard, about thirty feet high and he kept it burnin' all night. It alway meant freedom for a slave if he could get to this light."" ""Sometimes Mr. Rankins would have twenty or thirty slaves that had run away on his place at the time. It must have cost him a whole lots to keep them and feed 'em, but I think some of his friends helped him."" -- Arnold Gragston, former slave [1]",architectural structure,,55547,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q125191,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55547,,2022-01-13,,,,2005-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55547,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55547,,2022-01-13,,,,,,,,,,,,Rankin house looking up path 2005.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55547,,2022-01-13,,,,,,,,
,artwork,The Reverend Absalom Jones,Portrait of Absalom Jones,painting by Raphaelle Peale,,54362,,,2022-01-13,,,,,,,,,,,,,,,,,,Q1374536,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54362,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54362,,2022-01-13,,,,1810-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54362,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54362,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,Absalom-Jones Peale.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54362,,2022-01-13,,,Q1183941,,https://commons.wikimedia.org/wiki/File:Absalom-Jones_Peale.jpg,,2022-01-13,
,information,Cathedral of Our Lady of Peace,"Notre Dame de N'Djaména, catholic cathedral in N'Djaména (N'Djamena, formerly Fort Lamy), Chad, Central Africa.",architectural structure by artist unknown,,57399,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,"https://commons.wikimedia.org/wiki/File:Church_in_Fort_Lamy,_Chad.jpg",,2022-01-13,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57399,,2022-01-13,,,,1965-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57399,,2022-01-13,,,,,,,,,,,,,,,,,,,"Church in Fort Lamy, Chad.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57399,,2022-01-13,,,,,,,,
,artwork,Saint Apollinaris,"Saint Apollinaris, first bishop of Ravenna. Detail from the 6th century Byzantine mosaic in the apse of the basilica of Sant'Apollinare in Classe",mosaic by artist unknown,,58666,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58666,,2022-01-13,,,Q133067,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58666,,2022-01-13,,,,0550-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58666,,2022-01-13,,,Q38,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58666,,2022-01-13,,,,,,,,,,,,Saint Apollenaris.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58666,,2022-01-13,,,Q744552,,https://commons.wikimedia.org/wiki/File:Saint_Apollenaris.jpg,,2022-01-13,
,artwork,Naomi entreating Ruth and Orpah to return to the land of Moab,Naomi entreating Ruth and Orpah to return to the land of Moab .,watercolor by William Blake,,57992,,,2022-01-13,,,,,,,,,,,,,,,,,,Q41513,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57992,,2022-01-13,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57992,,2022-01-13,,,,1795-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57992,,2022-01-13,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57992,,2022-01-13,,,Q19652,Q60332278,Q29940705,,,,,,,1795-William-Blake-Naomi-entreating-Ruth-Orpah.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57992,,2022-01-13,,,,,,,,
,information,Church of the Sacred Heart,"Sacred Heart Cathedral of Shíshì, Guangzhou, Guangdong, People's Republic of China",architectural structure,,49973,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q125191,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49973,,2022-01-13,,,,1874-01-01T00:00:00Z,9,,1861-01-01T00:00:00Z,9,,1888-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49973,,2022-01-13,,,Q148,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49973,,2022-01-13,,,,,,,,,,,,Sacré-Cœur de Shizhi.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49973,,2022-01-13,,,,,,,,
,artwork,"Regent receiving a falcon, surrounded by birds",Incipit from a manuscript copy of Frederick II's De arte venandi cum avibus,painting by Brügger Meister von 1482,,46586,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q3305213,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46586,,2022-01-13,,,,1482-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46586,,2022-01-13,,,Q31,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46586,,2022-01-13,,,,,,,,,,,,Brügger Meister von 1482 001.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=46586,,2022-01-13,,,,,,,,
,information,Thrush Nest,"Nest of Song-thrush (as Turdus musicus Linn.). Image from Natural History, Birds.",print by Philip Henry Gosse,,57552,,,2022-01-13,,,,,,,,,,,,,,,,,,Q443062,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57552,,2022-01-13,,,Q11060274,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57552,,2022-01-13,,,,1849-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57552,,2022-01-13,,,,,,,,,,Q19652,Q60332278,Q29940705,,,,,,,"Natural History, Birds - Thrush nest.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57552,,2022-01-13,,,,,,,,
,artwork,Entry Into Jerusalem,,mosaic by Manfred Stumpf,,56141,,,2022-01-13,,,,,,,,,,,,,,,,,,Q1890012,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56141,,2022-01-13,,,Q133067,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56141,,2022-01-13,,,,1995-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56141,,2022-01-13,,,Q183,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56141,,2022-01-13,,,,,,,,,,,,Stumpf Mosaik 1.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56141,,2022-01-13,,,,,,,,
,information,"Battle for soul at death, from the Grandes Heures de Rohan",Painting from Grandes heures de Rohan,manuscript by 15th cent. Rohan Master,,55136,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55136,,2022-01-13,,,,1432-01-01T00:00:00Z,9,,1430-01-01T00:00:00Z,9,,1435-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55136,,2022-01-13,,,Q142,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55136,,2022-01-13,,,,,,,,,,,,"Le Mort devant son juge, Maitre de Rohan.jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55136,,2022-01-13,,,,,,,,
,none,Baptistery of Kelisa-e-Vank,,architectural structure,,49939,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49939,,2022-01-13,,,,1635-01-01T00:00:00Z,9,,1606-01-01T00:00:00Z,9,,1664-01-01T00:00:00Z,9,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49939,,2022-01-13,,,Q794,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49939,,2022-01-13,,,,,,,,,,,,Baptistère kelisa-e-vank esfahan.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=49939,,2022-01-13,,,,,,,,
,information,Mary Eliza Mahoney,"Mary Eliza Mahoney (April 16, 1845 – January 4, 1926), the first African American to study and work as a professionally trained nurse in the United States",photograph by artist unknown,,57882,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Mary_Eliza_Mahoney.jpg,,2022-01-13,,,Q125191,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57882,,2022-01-13,,,,1879-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57882,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57882,,2022-01-13,,,,,,,,,,,,Mary Eliza Mahoney.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57882,,2022-01-13,,,,,,,,
,information,Sunday School,A Sunday school class at Korean Central Presbyterian Church,architectural structure,,57773,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q125191,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57773,,2022-01-13,,,,2010-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57773,,2022-01-13,,,Q30,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57773,,2022-01-13,,,,,,,,,,,,Korean Central Presbyterian Church.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=57773,,2022-01-13,,,,,,,,
,artwork,Golden Triptych of Virgin Mary from the Khakhuli Monastery in Georgia,,manuscript,,54460,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54460,,2022-01-13,,,,1050-01-01T00:00:00Z,7,,0950-01-01T00:00:00Z,7,,1150-01-01T00:00:00Z,7,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54460,,2022-01-13,,,Q43,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54460,,2022-01-13,,,,,,,,,,,,Georgia Khakhuli triptych.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54460,,2022-01-13,,,,,,,,
,information,Pentecost,Church de:Pallottihaus (Wien) in Vienna Hietzing,sculpture,,56949,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q860861,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56949,,2022-01-13,,,,1950-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56949,,2022-01-13,,,Q40,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56949,,2022-01-13,,,,,,,,,,,,Pallottihaus 03.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56949,,2022-01-13,,,,,,,,
,information,Transfiguracion del Divino Salvador del Mundo,,architectural structure,,55377,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55377,,2022-01-13,,,,1999-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55377,,2022-01-13,,,,,,,,,,,,,,,,,,,Transfiguracion del Divino Salvador del Mundo.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55377,,2022-01-13,,,,,,,,
,information,Mary and Child,Contemporary painting of Mentewab laying prostate at the feet of Mary and Jesus at Närga Selassie,fresco by artist unknown,,58099,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,https://commons.wikimedia.org/wiki/File:Nerga_Sellasie.jpg,,2022-01-13,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58099,,2022-01-13,,,,1750-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58099,,2022-01-13,,,Q115,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58099,,2022-01-13,,,Q19652,,,,https://commons.wikimedia.org/wiki/File:Nerga_Sellasie.jpg,,2022-01-13,,,Nerga Sellasie.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=58099,,2022-01-13,,,,,,,,
,information,Baptism of Jesus,"A mural depicting the baptism of Jesus, Cathédrale de Sainte Trinité, Port-au-Prince, Haiti .",fresco by Castera Bazile,,54305,,,2022-01-13,,,,,,,,,,,,,,,,,,Q2941413,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,,2022-01-13,,,Q22669139,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,,2022-01-13,,,,1950-01-01T00:00:00Z,9,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,,2022-01-13,,,Q790,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,,2022-01-13,,,,,,,,,,,,PortAuPrinceMural.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=54305,,2022-01-13,,,,,,,,
,none,Poste Camino de Santiago,,guide marker for pilgrims,,56696,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q16980762,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56696,,2022-01-13,,,,2000-01-01T00:00:00Z,9,,,,,,,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56696,,2022-01-13,,,Q29,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56696,,2022-01-13,,,,,,,,,,,,Poste Camino de Santiago.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56696,,2022-01-13,,,,,,,,
,information,Medieval Tithe Barn ,Medieval Barn at Pilton,architectural structure,,55175,,,2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,Q811979,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55175,,2022-01-13,,,,1150-01-01T00:00:00Z,7,,,,,,,,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55175,,2022-01-13,,,Q145,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55175,,2022-01-13,,,,,,,,,,,,Tithe Barn Pilton.jpg,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=55175,,2022-01-13,,,,,,,,
,information,"Patrobulus, Hermas, Linus, Caius, Philologus of the 70 Disciples",Миниатюра из Минология Василия II.,manuscript by artist unknown,,56974,,,2022-01-13,,,,,,,,,,,,,,,,,,anon,,"https://commons.wikimedia.org/wiki/File:Patrobulus,_Hermas,_Linus,_Caius,_Philologus_of_70_disciples_(Menologion_of_Basil_II).jpg",,2022-01-13,,,Q87167,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56974,,2022-01-13,,,,1000-01-01T00:00:00Z,9,,0900-01-01T00:00:00Z,9,,1100-01-01T00:00:00Z,9,Q5727902,,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56974,,2022-01-13,,,,,,,,,,,,,,,,,,,"Patrobulus, Hermas, Linus, Caius, Philologus of 70 disciples (Menologion of Basil II).jpg",,http://diglib.library.vanderbilt.edu/act-imagelink.pl?RC=56974,,2022-01-13,,,,,,,,
