qid,unique_identifier,label_en,description_en,instance_of_uuid,instance_of,full_work_available_uuid,full_work_available,full_work_available_ref1_hash,full_work_available_ref1_retrieved_nodeId,full_work_available_ref1_retrieved_val,full_work_available_ref1_retrieved_prec,edition_version_uuid,edition_version,language_uuid,language,number_pages_uuid,number_pages_nodeId,number_pages_val,number_pages_unit,doi_uuid,doi,doi_ref1_hash,doi_ref1_referenceUrl,doi_ref1_stated_in,doi_ref1_retrieved_nodeId,doi_ref1_retrieved_val,doi_ref1_retrieved_prec,pmid_uuid,pmid,pmid_ref1_hash,pmid_ref1_referenceUrl,pmid_ref1_stated_in,pmid_ref1_retrieved_nodeId,pmid_ref1_retrieved_val,pmid_ref1_retrieved_prec,publication_date_uuid,publication_date_nodeId,publication_date_val,publication_date_prec,publication_date_ref1_hash,publication_date_ref1_referenceUrl,publication_date_ref1_stated_in,publication_date_ref1_retrieved_nodeId,publication_date_ref1_retrieved_val,publication_date_ref1_retrieved_prec,title_en_uuid,title_en,title_en_ref1_hash,title_en_ref1_referenceUrl,title_en_ref1_stated_in,title_en_ref1_retrieved_nodeId,title_en_ref1_retrieved_val,title_en_ref1_retrieved_prec,published_in_uuid,published_in,published_in_ref1_hash,published_in_ref1_referenceUrl,published_in_ref1_stated_in,published_in_ref1_retrieved_nodeId,published_in_ref1_retrieved_val,published_in_ref1_retrieved_prec,volume_uuid,volume,volume_ref1_hash,volume_ref1_referenceUrl,volume_ref1_stated_in,volume_ref1_retrieved_nodeId,volume_ref1_retrieved_val,volume_ref1_retrieved_prec,page_uuid,page,page_ref1_hash,page_ref1_referenceUrl,page_ref1_stated_in,page_ref1_retrieved_nodeId,page_ref1_retrieved_val,page_ref1_retrieved_prec,issue_uuid,issue,issue_ref1_hash,issue_ref1_referenceUrl,issue_ref1_stated_in,issue_ref1_retrieved_nodeId,issue_ref1_retrieved_val,issue_ref1_retrieved_prec,isbn10_uuid,isbn10,isbn10_ref1_hash,isbn10_ref1_referenceUrl,isbn10_ref1_stated_in,isbn10_ref1_retrieved_nodeId,isbn10_ref1_retrieved_val,isbn10_ref1_retrieved_prec,isbn13_uuid,isbn13,isbn13_ref1_hash,isbn13_ref1_referenceUrl,isbn13_ref1_stated_in,isbn13_ref1_retrieved_nodeId,isbn13_ref1_retrieved_val,isbn13_ref1_retrieved_prec,publisher_uuid,publisher,publisher_ref1_hash,publisher_ref1_referenceUrl,publisher_ref1_stated_in,publisher_ref1_retrieved_nodeId,publisher_ref1_retrieved_val,publisher_ref1_retrieved_prec,place_of_publication_uuid,place_of_publication,place_of_publication_ref1_hash,place_of_publication_ref1_referenceUrl,place_of_publication_ref1_stated_in,place_of_publication_ref1_retrieved_nodeId,place_of_publication_ref1_retrieved_val,place_of_publication_ref1_retrieved_prec
Q115683733,8HDMK7R6,The Jewish People and Their Sacred Scriptures in the Christian Bible: A Jewish Reading of the Document,journal article,,Q18918145,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2003,,,,Q114403967,,2022-12-12,,,The Jewish People and Their Sacred Scriptures in the Christian Bible: A Jewish Reading of the Document,,,Q114403967,,2022-12-12,,,Q15746447,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683735,2DRBFX7K,Putting Jesus where he belongs: the man from Nazareth in his Jewish world,journal article,,Q18918145,,,,,,,,,,Q1860,,,11,Q1069725,,,,,,,,,,,,,,,,,,,2000,,,,Q114403967,,2022-12-12,,,Putting Jesus where he belongs: the man from Nazareth in his Jewish world,,,Q114403967,,2022-12-12,,,Q15763977,,,Q114403967,,2022-12-12,,,27,,,Q114403967,,2022-12-12,,,167-177,,,Q114403967,,2022-12-12,,,2,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683736,FHH4GUPC,Is the New Testament Anti-Jewish?,journal article,,Q18918145,,https://www.bibleodyssey.org/en/tools/bible-basics/is-the-new-testament-anti-jewish,,,2022-12-12,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2002,,,https://www.bibleodyssey.org/en/tools/bible-basics/is-the-new-testament-anti-jewish,,,2022-12-12,,,Is the New Testament Anti-Jewish?,,https://www.bibleodyssey.org/en/tools/bible-basics/is-the-new-testament-anti-jewish,,,2022-12-12,,,Q98074103,,https://www.bibleodyssey.org/en/tools/bible-basics/is-the-new-testament-anti-jewish,,,2022-12-12,,,23,,https://www.bibleodyssey.org/en/tools/bible-basics/is-the-new-testament-anti-jewish,,,2022-12-12,,,,,,,,,,,3,,https://www.bibleodyssey.org/en/tools/bible-basics/is-the-new-testament-anti-jewish,,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683737,YZJQV972,"Review of Bread Not Stone: The Challenge of Feminist Biblical Interpretation, Elisabeth Sch&#xfc;ssler Fiorenza; Feminist Interpretation of the Bible, ; Feminist Perspectives on Biblical Scholarship",journal article,,Q18918145,,https://www.jstor.org/stable/3174373,,,2022-12-12,,,,,Q1860,,,4,Q1069725,,,,,,,,,,,,,,,,,,,1986,,,https://www.jstor.org/stable/3174373,,,2022-12-12,,,"Review of Bread Not Stone: The Challenge of Feminist Biblical Interpretation, Elisabeth Sch&#xfc;ssler Fiorenza; Feminist Interpretation of the Bible, ; Feminist Perspectives on Biblical Scholarship",,https://www.jstor.org/stable/3174373,,,2022-12-12,,,Q2285224,,https://www.jstor.org/stable/3174373,,,2022-12-12,,,12,,https://www.jstor.org/stable/3174373,,,2022-12-12,,,184-187,,https://www.jstor.org/stable/3174373,,,2022-12-12,,,1,,https://www.jstor.org/stable/3174373,,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683738,TPZKH7TG,Feminist interpretation of the Bible,journal article,,Q18918145,,,,,,,,,,Q1860,,,4,Q1069725,,,,,,,,,,,,,,,,,,,1986,,,,Q114403967,,2022-12-12,,,Feminist interpretation of the Bible,,,Q114403967,,2022-12-12,,,Q2285224,,,Q114403967,,2022-12-12,,,12,,,Q114403967,,2022-12-12,,,184-187,,,Q114403967,,2022-12-12,,,1,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683739,94WMNNIZ,Character Construction and Community Formation in Judith,journal article,,Q18918145,,,,,,,,,,Q1860,,,9,Q1069725,,,,,,,,,,,,,,,,,,,1989,,,,Q114403967,,2022-12-12,,,Character Construction and Community Formation in Judith,,,Q114403967,,2022-12-12,,,Q96915055,,,Q114403967,,2022-12-12,,,,,,,,,,,561-569,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683740,KHCCMPQQ,Biblical Views: The Many Faces of the Good Samaritan—Most Wrong,journal article,,Q18918145,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2012,,,,Q114403967,,2022-12-12,,,Biblical Views: The Many Faces of the Good Samaritan—Most Wrong,,,Q114403967,,2022-12-12,,,Q4903261,,,Q114403967,,2022-12-12,,,38,,,Q114403967,,2022-12-12,,,,,,,,,,,1,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683741,A6GPSGQZ,Anti-Judaism in Christian Biblical Scholarship,journal article,,Q18918145,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2007,,,,Q114403967,,2022-12-12,,,Anti-Judaism in Christian Biblical Scholarship,,,Q114403967,,2022-12-12,,,Q98074203,,,Q114403967,,2022-12-12,,,3,,,Q114403967,,2022-12-12,,,107,,,Q114403967,,2022-12-12,,,4,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683742,MVCDVRCP,Acknowledging Jewish and Christian Differences,journal article,,Q18918145,,,,,,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2003,,,,Q114403967,,2022-12-12,,,Acknowledging Jewish and Christian Differences,,,Q114403967,,2022-12-12,,,Q98074103,,,Q114403967,,2022-12-12,,,24,,,Q114403967,,2022-12-12,,,,,,,,,,,1,,,Q114403967,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q115683743,RMHMMDSI,Historical Fictions and Hellenistic Jewish Identity: Third Maccabees in its Cultural Context,journal article,,Q18918145,,http://search.proquest.com/docview/221596797/abstract/e705acda2d3b4747pq/1,,,2022-12-12,,,,,Q1860,,,,,,,,,,,,,,,,,,,,,,,2007,,,http://search.proquest.com/docview/221596797/abstract/e705acda2d3b4747pq/1,,,2022-12-12,,,Historical Fictions and Hellenistic Jewish Identity: Third Maccabees in its Cultural Context,,http://search.proquest.com/docview/221596797/abstract/e705acda2d3b4747pq/1,,,2022-12-12,,,Q15754229,,http://search.proquest.com/docview/221596797/abstract/e705acda2d3b4747pq/1,,,2022-12-12,,,36,,http://search.proquest.com/docview/221596797/abstract/e705acda2d3b4747pq/1,,,2022-12-12,,,"255-259, 304",,http://search.proquest.com/docview/221596797/abstract/e705acda2d3b4747pq/1,,,2022-12-12,,,2,,http://search.proquest.com/docview/221596797/abstract/e705acda2d3b4747pq/1,,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
