s,o,p
http://syriaca.org/persons#graph,http://purl.org/dc/terms/isPartOf,http://syriaca.org/
http://syriaca.org/persons#graph,http://purl.org/dc/terms/issued,2018-03-06
http://syriaca.org/persons#graph,http://purl.org/dc/terms/modified,2022-06-07T15:28:52.660Z
http://syriaca.org/persons#graph,http://rs.tdwg.org/dwc/terms/attributes/status,production
http://syriaca.org/persons#graph,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/sparql-service-description#NamedGraph
http://syriaca.org/persons#graph,http://www.w3.org/ns/sparql-service-description#graph,http://syriaca.org/persons
http://syriaca.org/persons#graph,http://www.w3.org/ns/sparql-service-description#name,http://syriaca.org/persons#graph
http://syriaca.org/taxonomy#graph,http://purl.org/dc/elements/1.1/publisher,syriaca.org
http://syriaca.org/taxonomy#graph,http://purl.org/dc/terms/isPartOf,http://syriaca.org/
http://syriaca.org/taxonomy#graph,http://purl.org/dc/terms/issued,2018-03-19
http://syriaca.org/taxonomy#graph,http://purl.org/dc/terms/modified,2022-06-07T15:29:42.660Z
http://syriaca.org/taxonomy#graph,http://rs.tdwg.org/dwc/terms/attributes/status,production
http://syriaca.org/taxonomy#graph,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/sparql-service-description#NamedGraph
http://syriaca.org/taxonomy#graph,http://www.w3.org/ns/sparql-service-description#graph,http://syriaca.org/taxonomy
http://syriaca.org/taxonomy#graph,http://www.w3.org/ns/sparql-service-description#name,http://syriaca.org/taxonomy#graph
http://syriaca.org/works#graph,http://purl.org/dc/elements/1.1/publisher,syriaca.org
http://syriaca.org/works#graph,http://purl.org/dc/terms/isPartOf,http://syriaca.org/
http://syriaca.org/works#graph,http://purl.org/dc/terms/issued,2018-03-19
http://syriaca.org/works#graph,http://purl.org/dc/terms/modified,2022-06-07T15:30:27.816Z
http://syriaca.org/works#graph,http://rs.tdwg.org/dwc/terms/attributes/status,production
http://syriaca.org/works#graph,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/sparql-service-description#NamedGraph
http://syriaca.org/works#graph,http://www.w3.org/ns/sparql-service-description#graph,http://syriaca.org/works
http://syriaca.org/works#graph,http://www.w3.org/ns/sparql-service-description#name,http://syriaca.org/works#graph
https://sparql.vanderbilt.edu/graphs,http://purl.org/dc/elements/1.1/publisher,Vanderbilt Heard Libraries
https://sparql.vanderbilt.edu/graphs,http://purl.org/dc/terms/modified,2022-06-07T17:41:09.630Z
https://sparql.vanderbilt.edu/graphs,http://rs.tdwg.org/dwc/terms/attributes/status,production
https://sparql.vanderbilt.edu/graphs,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/sparql-service-description#NamedGraph
https://sparql.vanderbilt.edu/graphs,http://www.w3.org/ns/sparql-service-description#name,https://sparql.vanderbilt.edu/graphs
https://sparql.vanderbilt.edu/graphs#collection,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/sparql-service-description#GraphCollection
https://sparql.vanderbilt.edu/graphs#collection,http://www.w3.org/ns/sparql-service-description#namedGraph,http://rs.tdwg.org/
https://sparql.vanderbilt.edu/graphs#collection,http://www.w3.org/ns/sparql-service-description#namedGraph,http://syriaca.org/bibl#graph
https://sparql.vanderbilt.edu/graphs#collection,http://www.w3.org/ns/sparql-service-description#namedGraph,http://syriaca.org/geo#graph
https://sparql.vanderbilt.edu/graphs#collection,http://www.w3.org/ns/sparql-service-description#namedGraph,http://syriaca.org/persons#graph
https://sparql.vanderbilt.edu/graphs#collection,http://www.w3.org/ns/sparql-service-description#namedGraph,http://syriaca.org/taxonomy#graph
https://sparql.vanderbilt.edu/graphs#collection,http://www.w3.org/ns/sparql-service-description#namedGraph,http://syriaca.org/works#graph
https://sparql.vanderbilt.edu/graphs#collection,http://www.w3.org/ns/sparql-service-description#namedGraph,https://sparql.vanderbilt.edu/graphs
https://sparql.vanderbilt.edu/sparql#service,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/ns/sparql-service-description#Service
https://sparql.vanderbilt.edu/sparql#service,http://www.w3.org/ns/sparql-service-description#availableGraphs,https://sparql.vanderbilt.edu/graphs#collection
https://sparql.vanderbilt.edu/sparql#service,http://www.w3.org/ns/sparql-service-description#endpoint,https://sparql.vanderbilt.edu/sparql
