qid,en,ca,de,es,fr,ja,ln,sa,it
Q106566739,Figurative Composition,,Figurliche Kompositio,,,,,,
Q106577289,Get Up! Get Up! Get Up! Man help Yourself,,Auf! Auf! Auf! Mensch hilf Dir Selbst,,,,,,
Q102963350,Civilization Marches ON,,Die Zivilisation marschiert,,,,,,
Q102965076,Figurine of Daruma,,,,,,,Bodhidharma,
Q102971257,Seki: Early Departure of a Daimyō,,,,,"Seki, honjin hayadachi",,,
Q102975700,Floating World Drips,,,,,Ukiyo Shizuki ,,,
Q102975733,A Handle,,,,Une Poignee,,,,
Q102976626,View of the Roman Forum (Cow Pasture),,,,,,,,Veduta di Campo Vaccino
Q103299382,Evening,,,,Deux Landaises,,,,
Q103301423,The Teaching of Skeletons by Ikkyu,,,,,Ikkyu Gaikotsu,,,
Q103302324,Normandy,,,,La Normandie,,,,
Q103305982,Noto Province: Waterfall Bay,,,,,"Noto, Taki no ura",,,
Q104032255,Portraits of the Roman Emperors,,,,,,"Icones imperatorum romanorum, ex priscis numismatibus ad vivum delineatae, & brevi narratione historica illustratae",,
Q104032256,Portraits of the Roman Emperors,,,,,,"Icones imperatorum romanorum, ex priscis numismatibus ad vivum delineatae, & brevi narratione historica illustratae",,
Q104032258,Portraits of the Roman Emperors,,,,,,"Icones imperatorum romanorum, ex priscis numismatibus ad vivum delineatae, & brevi narratione historica illustratae",,
Q104032260,Portraits of the Roman Emperors,,,,,,"Icones imperatorum romanorum, ex priscis numismatibus ad vivum delineatae, & brevi narratione historica illustratae",,
Q104032261,Portraits of the Roman Emperors,,,,,,"Icones imperatorum romanorum, ex priscis numismatibus ad vivum delineatae, & brevi narratione historica illustratae",,
Q105096116,The Wisteria Maiden,,,,,Fuji Musume,,,
Q106577363,Kyoto Boys,,,,,Kyo Warabe,,,
Q106577425,Seven Gods of Good Fortune,,,,,Shichifukujin Daisuten,,,
Q103302340,The Prodigious Life of Death,,,La Portentosa Vida de la Muerte,,,,,
Q105091824,Funeral of a Clown,,,Funeral de un Payaso,,,,,
Q105095859,Cupid's Bow,,Eros-bogen,,,,,,
Q105095856,Cactus,,Kaktus,,,,,,
Q103300527,Two volumes bound together,,,,,Gion Goreikai Saiki,,,
Q105092084,Monkey Chieftan,,,,,Saru Enko,,,
Q102964858,"Confront AIDS, don't rely on luck. Wear a condom",,,,"Face aux IST/sida, ne comptez pas sur la chance. Mettez un preservatif.",,,,
Q102964969,"Nude woman reclining, looking right",,,,"Femme nue couchée, tournée à droite",,,,
Q102964981,Women from the Island of Argentière,,,,Femmes de l'Isle de l'Argentière,,,,
Q102966715,Young Girl with Long Hair,,,,Jeune Fille à La Chevelure Longue,,,,
Q102967108,The Empire means peace,,,,L'empire c'est la paix.,,,,
Q102967209,The Plains near the Lake,,,,La Plaine Près Du Lac,,,,
Q102967945,,,,,Le Bouquet,,,,
Q102967989,The reverse side of the Medal of Sainte-Hélène,,,,Le revers de la Médaille de Sainte-Hélène,,,,
Q102970011,Preparing New Year’s gifts for his people,,,,Préparant les étrennes pour son peuple,,,,
Q102970226,The rationing of bread. A man going downtown to dine.,,,,Rationnement du pain. Un monsieur allant dîner en ville.,,,,
Q102973152,Napoléon Square,,,,Square Napoléon,,,,
Q102975718,The scenery in 1870.,,,,Un paysage en 1870.,,,,
Q102976694,Ships by a Fort,,,,Veue d'un coin de Calais,,,,
Q103299836,"Woman, Birds, Stars",,,,"Femme, Oiseaux, √âtoiles",,,,
Q103302285,The Legend of the Destitute Man,,,,La Légende du Bonhomme Misère,,,,
Q103304476,The Hat Pin,,,,Le chapeau épinglé,,,,
Q103304492,The Bird Thief,,,,Le Denicheur de Moineaux,,,,
Q103304540,The Sitter,,,,Le Veillée,,,,
Q103304543,The Old King,,,,Le Vieux Roi,,,,
Q103308282,Seventh Book of Trophies of Music #6,,,,Septieme Cahier de Trophées de Musique #6,,,,
Q103312213,Water Plants,,,,Plates d'eau,,,,
Q104032271,"A few flowers for some friends, with a glance upon the garden",,,,"Quelques fleurs pour des amis, avec un coup d'oeil sur le jardin",,,,
Q104032272,"A few flowers for some friends, with a glance upon the garden",,,,"Quelques fleurs pour des amis, avec un coup d'oeil sur le jardin",,,,
Q105095874,"AIDS is beautiful, this summer, protect yourself",,,,Le sida est beau cet ete protegez-vous,,,,
Q106566936,The entrance of the big railway tunnel,,,,L’entrée du grand tunnel d’un chemin de fer.,,,,
Q106577288,Paris Astronomers Observing a Comet,,,,Astronomes parisiens observant la Comète,,,,
Q106577291,International Costumes or People types,,,,,Bankoku Jinbutsu Ezu,,,
Q103300889,"Chronicle of Edo Kabuki, Volumes 1, 2, and 3",,,,,Hanna no Edo Kabuki Nendaiki ,,,
Q103305124,A Manual for Young Girls,,,,,Masu Kagami,,,
Q103551076,Paper Umbrella,,,,,Karakasa,,,
Q102961856,Bacchanalian Procession,,Bacchantenzug,,,,,,
Q102966256,Day,,,,,,,,Il Giorno
Q102967194,Night,,,,,,,,La Notte
Q102969023,Nile,,,,,,,,Nile
Q102970782,Sannio,,,,,,,,Sannio
Q102973537,Stromboli,,,,,,,,Stromboli
Q102976596,View of the Arch of Titus,,,,,,,,Veduta dell' Arco di Tito 
Q102976607,View of the Plaza Rotunda,,,,,,,,Veduta della Piazza della Rotonda
Q102976613,View of the Piazza del Monte Cavallo,,,,,,,,Veduta della Piazza di Monte Cavallo
Q102976639,Internal View of the Atrium of the Portico of Octavia,,,,,,,,Veduta Interna dell' Atrio del Portico di Ottavia
Q105095834,"Scalpel, Please",,Skalpell Bitte,,,,,,
Q103551078,Litmus,,Lackmus,,,,,,
Q102964795,Appalled at the consequences of war.,,,,Epouvantee de l'heritage.,,,,
Q103299147,Deep Grief is Silent,,Epouvantee de l'heritage.,,,,,,
Q102968218,Letter O,Lletra O,,,,,,,
Q102969076,Night in Oslo,,,,,,,,Notte A Oslo
Q105092108,Sketches by Soken,,,,,Soken Ryakuga,,,
