RecordNumber,ImageLink,file_url
27093,205,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000205.jpg
27099,211,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000211.jpg
27110,222,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000222.jpg
27111,223,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000223.jpg
27112,224,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000224.jpg
27113,225,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000225.jpg
27114,226,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000226.jpg
27115,227,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000227.jpg
27116,228,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000228.jpg
27117,229,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000229.jpg
27118,230,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000230.jpg
27119,231,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000231.jpg
27120,232,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000232.jpg
27121,233,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000233.jpg
27122,234,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000234.jpg
27123,235,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000235.jpg
27124,236,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000236.jpg
27125,237,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000237.jpg
27127,239,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000239.jpg
27128,241,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000241.jpg
27129,242,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000242.jpg
27130,243,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000243.jpg
27131,244,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000244.jpg
27132,245,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000245.jpg
27133,246,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000246.jpg
27134,247,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000247.jpg
27135,249,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000249.jpg
27137,250,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000250.jpg
27138,251,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000251.jpg
27139,252,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000252.jpg
27140,254,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000254.jpg
27142,255,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000255.jpg
27143,256,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000256.jpg
27144,257,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000257.jpg
27145,258,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000258.jpg
27146,259,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000259.jpg
27147,260,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000260.jpg
27148,261,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000261.jpg
27149,262,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000262.jpg
27150,263,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000263.jpg
27151,264,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000264.jpg
27153,266,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000266.jpg
27154,267,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000267.jpg
27155,268,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000268.jpg
27156,269,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000269.jpg
27157,270,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000270.jpg
27158,271,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000271.jpg
27159,272,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000272.jpg
27160,273,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000273.jpg
27161,274,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000274.jpg
27162,275,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000275.jpg
27163,276,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000276.jpg
27164,277,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000277.jpg
27165,278,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000278.jpg
27166,279,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000279.jpg
27167,280,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000280.jpg
27169,282,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00000282.jpg
