qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir,dimension
Q122959542,00000160.jpg,27219,primary,,,187,900,602,2023-08-09,,3D
Q122959543,00000161.jpg,27220,primary,,,275,900,606,2023-08-09,,3D
Q122959544,00000162.jpg,27221,primary,,,222,900,578,2023-08-09,,3D
Q122959546,00000163.jpg,27222,primary,,,224,900,573,2023-08-09,,3D
Q122959547,00000164.jpg,27223,primary,,,266,900,581,2023-08-09,,3D
Q122959549,00000165.jpg,27224,primary,,,247,900,598,2023-08-09,,3D
Q122959550,00000166.jpg,27225,primary,,,321,578,900,2023-08-09,,3D
Q122959551,00000167.jpg,27226,primary,,,263,900,598,2023-08-09,,3D
Q122959552,00000168.jpg,27227,primary,,,235,900,578,2023-08-09,,3D
Q122959553,00000169.jpg,27228,primary,,,229,900,598,2023-08-09,,3D
Q122959554,00000170.jpg,27229,primary,,,216,578,900,2023-08-09,,3D
Q122959555,00000171.jpg,27230,primary,,,212,537,900,2023-08-09,,3D
Q122959556,00000172.jpg,27231,primary,,,257,900,598,2023-08-09,,3D
Q122959557,00000173.jpg,27232,primary,,,225,900,578,2023-08-09,,3D
Q122959558,00000175.jpg,27234,primary,,,232,900,603,2023-08-09,,3D
Q122959559,00000176.jpg,27235,primary,,,261,900,603,2023-08-09,,3D
Q122959560,00000177.jpg,27236,primary,,,316,608,900,2023-08-09,,3D
Q122959561,00000178.jpg,27237,primary,,,238,900,603,2023-08-09,,3D
Q122960161,00000179.jpg,49995,primary,,,296,578,900,2023-08-09,,3D
Q122959562,00000180.jpg,27239,primary,,,467,900,598,2023-08-09,,3D
Q122959563,00000181.jpg,27240,primary,,,263,900,603,2023-08-09,,3D
Q122959564,00000182.jpg,27241,primary,,,285,900,603,2023-08-09,,3D
Q122959565,00000185.jpg,27244,primary,,,302,676,900,2023-08-09,,3D
Q122959566,00000186.jpg,27245,primary,,,237,579,900,2023-08-09,,3D
Q122959567,00000187.jpg,27246,primary,,,244,900,606,2023-08-09,,3D
Q122959568,00000188.jpg,27247,primary,,,278,900,564,2023-08-09,,3D
Q122959569,00000189.jpg,27248,primary,,,309,900,546,2023-08-09,,3D
Q122959570,00000190.jpg,27249,primary,,,303,900,548,2023-08-09,,3D
Q122959571,00000191.jpg,27250,primary,,,331,900,603,2023-08-09,,3D
Q122959572,00000192.jpg,27251,primary,,,221,900,598,2023-08-09,,3D
Q122959573,00000193.jpg,27252,primary,,,243,603,900,2023-08-09,,3D
Q122959574,00000194.jpg,27253,primary,,,282,578,900,2023-08-09,,3D
Q122959575,00000195.jpg,27254,primary,,,192,900,598,2023-08-09,,3D
Q122959576,00000196.jpg,27255,primary,,,195,900,573,2023-08-09,,3D
Q122959577,00000197.jpg,27256,primary,,,174,900,603,2023-08-09,,3D
Q122959579,00000198.jpg,27257,primary,,,281,578,900,2023-08-09,,3D
Q122959580,00000199.jpg,27258,primary,,,247,900,606,2023-08-09,,3D
Q122959422,00000200.jpg,26953,primary,,,256,900,578,2023-08-09,,3D
Q122959423,00000201.jpg,27089,primary,,,246,900,564,2023-08-09,,3D
Q122959424,00000202.jpg,27090,primary,,,209,900,575,2023-08-09,,3D
Q122959425,00000203.jpg,27091,primary,,,213,575,900,2023-08-09,,3D
Q122959426,00000204.jpg,27092,primary,,,239,900,578,2023-08-09,,3D
Q122959428,00000205.jpg,27093,primary,,,178,564,900,2023-08-09,,3D
Q122959587,00000206.jpg,28141,primary,,,212,900,603,2023-08-09,,3D
Q122959595,00000207.jpg,28147,primary,,,208,564,900,2023-08-09,,3D
Q122959586,00000209.jpg,28140,primary,,,266,900,603,2023-08-09,,3D
Q122959581,00000210.jpg,28134,primary,,,234,900,603,2023-08-09,,3D
Q122959429,00000211.jpg,27099,primary,,,199,900,603,2023-08-09,,3D
Q122959585,00000212.jpg,28138,primary,,,209,900,603,2023-08-09,,3D
Q122959596,00000213.jpg,28148,primary,,,254,603,900,2023-08-09,,3D
Q122959589,00000214.jpg,28142,primary,,,234,601,900,2023-08-09,,3D
Q122959582,00000215.jpg,28135,primary,,,226,564,900,2023-08-09,,3D
Q122959583,00000216.jpg,28136,primary,,,254,900,603,2023-08-09,,3D
Q122959584,00000217.jpg,28137,primary,,,269,578,900,2023-08-09,,3D
Q122959594,00000218.jpg,28146,primary,,,267,900,582,2023-08-09,,3D
Q122959593,00000219.jpg,28145,primary,,,279,543,900,2023-08-09,,3D
Q122959592,00000220.jpg,28144,primary,,,257,564,900,2023-08-09,,3D
Q122959591,00000221.jpg,28143,primary,,,219,900,606,2023-08-09,,3D
Q122959430,00000222.jpg,27110,primary,,,280,900,578,2023-08-09,,3D
Q122959431,00000223.jpg,27111,primary,,,271,576,900,2023-08-09,,3D
Q122959432,00000224.jpg,27112,primary,,,249,900,578,2023-08-09,,3D
Q122959433,00000225.jpg,27113,primary,,,239,900,578,2023-08-09,,3D
Q122959434,00000226.jpg,27114,primary,,,241,900,578,2023-08-09,,3D
Q122959436,00000227.jpg,27115,primary,,,262,603,900,2023-08-09,,3D
Q122959438,00000228.jpg,27116,primary,,,297,578,900,2023-08-09,,3D
Q122959597,00000228.jpg,28319,primary,,,297,578,900,2023-08-09,,3D
Q122959439,00000229.jpg,27117,primary,,,264,900,576,2023-08-09,,3D
