qid,label_en,act_id,dimension,status,inception_val
Q122960120,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47152,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960121,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47153,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960122,"Baptistmal font, Cathedral of St. Pierre, Angouleme, France",47157,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122960124,"Western front sculpture, Cathedral of St. Pierre, Angouleme, France",47158,3D,inception prior to copyright cutoff,1050-01-01T00:00:00Z
Q122959816,St. Savin - Burial of Abraham,32950,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959817,St. Savin - Angel's Blessing of Abraham; Isaac's Inheritance,33090,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959818,St. Savin - Christ of Parousia and the Visions of Apocalypse,33113,3D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959819,St. Savin - Apostles in Glory,33138,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959820,St. Savin - Angels Worshipping,33149,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959821,St. Savin - Angels Worshipping,33155,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959822,St. Savin - Sixth Angel of the Apocalypse,33251,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959823,St. Savin - War of Michael and the Dragon,33259,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959824,St. Savin - Sixth Angel of the Apocalypse (Detail),33260,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959826,St. Savin - Fifth Angel of the Apocalypse,33262,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959827,"St. Savin - Temple of God; Woman, Child, and Dragon",33263,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959828,St. Savin - Adoration of the Virgin,33274,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959829,"St. Savin - Woman, Child, and Dragon (Detail)",33281,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959830,St. Savin - Moses Receiving the Tablets of the Law,33283,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959831,St. Savin - Drowning of Pharaoh's Army in the Red Sea,33358,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959833,St. Savin - March of the Children of Israel Toward the Promised Land,33359,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959834,St. Savin - Joseph's Appointment as the Master of Pharaoh's Palace,33360,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959835,St. Savin - Joseph Interprets Pharaoh's Dreams,33361,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959836,St. Savin - Joseph and Potiphar's Wife,33362,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959837,St. Savin - Joseph Sold into Slavery,33363,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959838,St. Savin - Isaac Blessing Jacob,33376,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959839,St. Savin - Isaac Blessing Jacob (Detail),33378,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959841,St. Savin - Noah's Disembarkation from the Ark,33423,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959842,St. Savin - Noah's Drunkenness,33424,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959843,St. Savin - Noah Curses Canaan,33428,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959844,Building theTower of Babel,33430,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959845,St. Savin - Calling of Abraham,33460,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959846,St. Savin - Abraham and Lot Part Company,33462,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959847,St. Savin - Creation of the Luminaries; Creation of Eve and Her Temptation by the Serpent,33547,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959849,St. Savin - God's Creation of the Luminaries,33548,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959850,St. Savin - God's Creation of Eve and Her Temptation by the Serpent,33549,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959851,St. Savin - God's Creation of Eve and Her Temptation by the Serpent (Detail),33550,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122959852,St. Savin - Angels Worshipping,33852,2D,inception prior to copyright cutoff,1065-01-01T00:00:00Z
Q122960068,"Christ in Majesty, Murals and interior of Saint-Julien in Brioude, France.",47088,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960069,"Murals and interior of Saint-Julien in Brioude, France.",47090,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960070,Angels praising God in glory,47091,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960071,"Angel Lion, Murals and interior of Saint-Julien in Brioude, France.",47092,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960073,"Murals and interior of Saint-Julien in Brioude, France.",47093,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960074,"Murals and interior of Saint-Julien in Brioude, France.",47094,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960075,"Murals and interior of Saint-Julien in Brioude, France.",47095,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960076,"Murals and interior of Saint-Julien in Brioude, France.",47096,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960077,"Murals and interior of Saint-Julien in Brioude, France.",47097,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960078,"Murals and interior of Saint-Julien in Brioude, France.",47098,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960079,"Murals and interior of Saint-Julien in Brioude, France.",47099,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960080,"Murals and interior of Saint-Julien in Brioude, France.",47100,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960081,"Murals and interior of Saint-Julien in Brioude, France.",47101,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960082,"Murals and interior of Saint-Julien in Brioude, France.",47102,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960084,"Murals and interior of Saint-Julien in Brioude, France.",47103,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960085,"Murals and interior of Saint-Julien in Brioude, France.",47104,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960086,"Murals and interior of Saint-Julien in Brioude, France.",47105,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960087,"Murals and interior of Saint-Julien in Brioude, France.",47106,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960088,"Murals and interior of Saint-Julien in Brioude, France.",47107,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960089,"Murals and interior of Saint-Julien in Brioude, France.",47108,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960090,"Murals and interior of Saint-Julien in Brioude, France.",47109,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960091,"Murals and interior of Saint-Julien in Brioude, France.",47110,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960092,"Murals and interior of Saint-Julien in Brioude, France.",47111,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960093,"Murals and interior of Saint-Julien in Brioude, France.",47112,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960095,"Murals and interior of Saint-Julien in Brioude, France.",47113,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960096,"Murals and interior of Saint-Julien in Brioude, France.",47114,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960097,"Murals and interior of Saint-Julien in Brioude, France.",47115,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960098,"Murals and interior of Saint-Julien in Brioude, France.",47116,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960099,"Colored light bathes the interior of Saint-Julien in Brioude, France.",47117,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960101,"Murals and interior of Saint-Julien in Brioude, France.",47118,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960102,"Murals and interior of Saint-Julien in Brioude, France.",47119,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960103,"Murals and interior of Saint-Julien in Brioude, France.",47120,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960105,"Murals and interior of Saint-Julien in Brioude, France.",47121,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122960106,"Murals and interior of Saint-Julien in Brioude, France.",47122,3D,inception prior to copyright cutoff,1100-01-01T00:00:00Z
Q122959895,"Last Judgment; The Blessed in Heaven, Abbaye Sainte-Foy de Conques",43112,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959897,"Last Judgment, Abbaye Sainte-Foy de Conques",43114,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959898,Last Judgment; Separation of Saved (Christ's right) from Damned (Christ's left),43115,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959899,"Last Judgment; The Blessed in Heaven, Abbaye Sainte-Foy de Conques",43116,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959900,"Last Judgment; The Tortures of Hell, Abbaye Sainte-Foy de Conques",43117,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959901,"Last Judgment; Division of Blessed and Damned, upper detail",43118,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959902,Last Judgment; the Elect in Heaven,43119,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959903,Last Judgment; Separation of the Damned,43120,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959905,"Last Judgment; Abraham gathers the blessed in his bosom, detail",43121,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959906,"Last Judgment; Great Cross, angel calls on horn (right of Christ)",43122,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959907,"Last Judgment; Great Cross, angel calls on horn (left of Christ)",43123,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959908,Last Judgment; Christ enthroned,43124,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959909,"Last Judgment; The Elect, including Charlemagne, Peter and Mary",43125,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959910,Last Judgment; Abraham gathers the blessed in his bosom,43126,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959911,Last Judgment; Angels (left) protect entrance to heaven from sinners,43127,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959912,Last Judgment; Tortures,43128,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959913,Last Judgment; Satan in Hell,43129,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959914,Last Judgment; Mouth of Hell,43130,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959916,Last Judgment; Division of Blessed and Damned,43131,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959917,"Last Judgment; the Blessed in Heaven, Ste. Foy",43132,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959918,"Last Judgment; The Resurrection of the Dead, and the Blessed Enter Heaven, upper left detail",43133,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959920,"Last Judgment; The Resurrection of the Dead, and the Blessed Enter Heaven",43134,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959921,"Last Judgment; The Blessed in Heaven, Peter with the Keys",43135,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959922,Last Judgment; The Great Cross with Symbols of Nail and Lance Held by the Angels,43136,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959923,Last Judgment; Angels in Heaven Guarding the Entrance,43137,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959924,"Last Judgment; The Tortures of Hell, Abbaye Sainte-Foy de Conques",43138,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122959925,"Last Judgment; Angels in Heaven Guarding the Entrance, detail",43139,3D,inception prior to copyright cutoff,1101-01-01T00:00:00Z
Q122960125,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47159,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960126,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47160,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960127,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47161,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960128,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47162,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960129,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47163,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960130,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47164,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960131,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47165,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960132,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47166,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960133,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47167,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960134,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47168,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960135,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47169,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960136,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47170,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960137,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47171,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960138,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47172,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960139,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47173,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960140,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47174,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960141,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47175,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960142,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47176,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960143,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47177,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960144,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47178,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960145,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47179,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960147,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47180,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960148,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47181,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960149,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47182,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960150,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47183,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960152,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47184,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960153,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47185,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960154,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47186,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960156,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47187,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960157,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47188,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960158,"Church of St. Pierre, Aulnay, France; exterior and interior sculpture",47189,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
Q122960160,"Church of St. Pierre, Aulnay, France; stained glass",47190,3D,inception prior to copyright cutoff,1125-01-01T00:00:00Z
