qid,label,orcid
Q3183505,Jonathan Z. Smith,
Q325219,Sander Gilman,
Q335189,Colin Renfrew,
Q3472099,Sandy Eisenberg Sasso,
Q349907,Miroslav Volf,
Q3591154,Éric Geoffroy,
Q3807684,Jean Louis Ska,
Q4096840,Sebastian Brock,
Q4119137,John S. Kloppenborg,0000-0002-8770-4558
Q4164276,Richard Klein,0000-0002-6180-2168
Q41661234,Trevor A. Hart,0000-0001-5107-7452
Q42305783,R. S. Sugirtharajah,
Q42907841,José Iriarte,0000-0002-8155-5360
Q43370088,Sidnie White Crawford,
Q4648029,A. K. M. Adam,
Q4648447,A. Thomas Kraabel,
Q4678278,Ada María Isasi-Díaz,
Q47092734,Catherine Mayeur-Jaouen,
Q4772041,Anthony B. Pinn,
Q47744325,Julia C. Phillippi,0000-0002-6549-094X
Q4854071,Timothy Morton,
Q48722067,Judith Weisenfeld,
Q50204819,"Steven L. Goodbred, Jr.",0000-0001-7626-9864
Q50224871,Vincent Goossaert,
Q50225606,Wouter Henkelman,
Q5052770,Catherine Keller,
Q5112096,Christopher Chippindale,
Q5210332,Dale Allison,
Q52274406,Sharon Welch,
Q52274665,Omar Imady,
Q5238058,David Noel Freedman,
Q52424039,Melanie Johnson-Debaufre,
Q5289551,Dolores R. Piperno,0000-0002-0584-3133
Q5292723,Don H. Compier,
Q5293464,Don Saliers,
Q5293925,Donald A. Crosby,
Q5298611,Dorothy Roberts,
Q5318184,Dwight Hopkins,
Q5336067,Eddie Glaude,
Q5365043,Ellen Umansky,
Q53939645,Sandra Luisa Lippert,0000-0002-0619-9722
Q5473986,Martti Nissinen,0000-0002-1265-3936
Q55626493,Josiane Cauquelin,
Q55939771,Frank Reynolds,
Q55990040,Alejandro F. Botta,
Q55995614,Donald L. Boisvert,
Q55998186,Delwin Brown,
Q56042645,Christine Hastorf,
Q5662604,Harold W. Attridge,
Q5709784,Helmut Walser Smith,
Q57230480,Torben C. Rick,0000-0002-8254-5885
Q57435308,Joyce Ann Mercer,0000-0002-8537-3679
Q58042411,Roland Boer,
Q58099619,Leslie J. Hoppe,
Q5814824,Duccio Bonavia,
Q58328277,Katherine L Chiou,0000-0003-0160-8037
Q58463679,Gelvam A Hartmann,0000-0001-6078-3893
Q58957463,Allen James Fromherz,
Q5913090,Ignacio Arellano,
Q59526672,Irene Bloom,
Q59532048,Otto Maduro,
Q59533023,Alistair Kee,
Q59626600,George Thomas Kurian,
Q59685764,Ximena S Villagran,0000-0001-8630-2015
Q60278,Jürgen Moltmann,
Q60694120,Todd J. Braje,0000-0002-3138-1665
Q60874284,Norman Girardot,
Q6112059,Jack Dean Kingsbury,
Q6135111,James H. Charlesworth,
Q6138351,James M. Adovasio,
Q6138460,James M. Jasper,
Q61482585,Gene M. Tucker,
Q6152541,Martin E. Marty,
Q61655401,John Renard,
Q61703190,Brian Brock,
Q61787528,Gustavo Politis,0000-0003-4161-9873
Q6181107,Jeremy Begbie,
Q6200439,Jimmy Jack McBee Roberts,
Q6219215,John Anthony McGuckin,
Q6227181,John Corrigan,
Q6240990,John J. Collins,
Q6251785,John Painter,
Q6271166,Jon M. Erlandson,0000-0002-4705-4319
Q6303611,Judith Plaskow,
Q63038666,Joretta L. Marshall,
Q63183847,Trevor Watt,
Q63183848,Felicidad Oberholzer,
Q63183850,Lucy Bregman,
Q63183851,Carol Lakey Hess,
Q63183852,Kathleen A. Cahalan,
Q63183857,Herbert Anderson,
Q63183858,Edward P. Wimberly,
Q63433333,Mary Ann Tolbert,
Q6377132,Kathryn Tanner,
Q6377445,Katie Geneva Cannon,
Q6388557,Ken Stone,
Q64005331,Barbara E. Reid,
Q64595161,Peter J. Paris,
Q64595627,Stephanie Y. Mitchem,
Q64706315,Tom Pendergast,
