act_id,qid,commons_iri,commons_filename,commons_page_url
54940,Q20195412,http://commons.wikimedia.org/wiki/Special:FilePath/Third%20Class%20Carriage%20%281856-1858%29%20by%20Honore%20Daumier.jpg,Third Class Carriage (1856-1858) by Honore Daumier.jpg,https://commons.wikimedia.org/wiki/File:Third_Class_Carriage_(1856-1858)_by_Honore_Daumier.jpg
46162,Q111822067,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20Mantegna%20023.jpg,Andrea Mantegna 023.jpg,https://commons.wikimedia.org/wiki/File:Andrea_Mantegna_023.jpg
46588,Q111821933,http://commons.wikimedia.org/wiki/Special:FilePath/Bernt%20Notke%20002.jpg,Bernt Notke 002.jpg,https://commons.wikimedia.org/wiki/File:Bernt_Notke_002.jpg
57595,Q111822240,http://commons.wikimedia.org/wiki/Special:FilePath/W.%20Hoogstraaten%20%26%20Co.%20Fijne%20groenten%2C%20Huishoudgroenten%20Soepen%20en%20Sausen.jpg,"W. Hoogstraaten & Co. Fijne groenten, Huishoudgroenten Soepen en Sausen.jpg","https://commons.wikimedia.org/wiki/File:W._Hoogstraaten_%26_Co._Fijne_groenten,_Huishoudgroenten_Soepen_en_Sausen.jpg"
49993,Q111842050,http://commons.wikimedia.org/wiki/Special:FilePath/Tabgha%20Church%20Mosaic%20Israel.jpg,Tabgha Church Mosaic Israel.jpg,https://commons.wikimedia.org/wiki/File:Tabgha_Church_Mosaic_Israel.jpg
56705,Q111842654,http://commons.wikimedia.org/wiki/Special:FilePath/Jesse1-Issoudun.jpg,Jesse1-Issoudun.jpg,https://commons.wikimedia.org/wiki/File:Jesse1-Issoudun.jpg
56773,Q111842680,http://commons.wikimedia.org/wiki/Special:FilePath/Church%20Sign%20-%20geograph.org.uk%20-%201188271.jpg,Church Sign - geograph.org.uk - 1188271.jpg,https://commons.wikimedia.org/wiki/File:Church_Sign_-_geograph.org.uk_-_1188271.jpg
57856,Q111842457,http://commons.wikimedia.org/wiki/Special:FilePath/Nativity%20scene%20at%20Parliament%20House%2C%20Brisbane%20in%202019%2C%20details.jpg,"Nativity scene at Parliament House, Brisbane in 2019, details.jpg","https://commons.wikimedia.org/wiki/File:Nativity_scene_at_Parliament_House,_Brisbane_in_2019,_details.jpg"
58793,Q111842109,http://commons.wikimedia.org/wiki/Special:FilePath/%27Christ%20Interred%27%20from%20the%20Philippines%2C%2017th-18th%20century%2C%20Honolulu%20Museum%20of%20Art.JPG,"'Christ Interred' from the Philippines, 17th-18th century, Honolulu Museum of Art.JPG","https://commons.wikimedia.org/wiki/File:%27Christ_Interred%27_from_the_Philippines,_17th-18th_century,_Honolulu_Museum_of_Art.JPG"
58815,Q111842125,http://commons.wikimedia.org/wiki/Special:FilePath/Christian%20Imagery%20in%20Chippenham%20Carpark.jpg,Christian Imagery in Chippenham Carpark.jpg,https://commons.wikimedia.org/wiki/File:Christian_Imagery_in_Chippenham_Carpark.jpg
56801,Q60761193,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20van%20Rijn%2C%20Christ%20Crucified%20between%20the%20Two%20Thieves%20%28The%20Three%20Crosses%29%2C%201653%2C%20NGA%2011624.jpg,"Rembrandt van Rijn, Christ Crucified between the Two Thieves (The Three Crosses), 1653, NGA 11624.jpg","https://commons.wikimedia.org/wiki/File:Rembrandt_van_Rijn,_Christ_Crucified_between_the_Two_Thieves_(The_Three_Crosses),_1653,_NGA_11624.jpg"
56801,Q60761193,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20van%20Rijn%2C%20Christ%20Crucified%20between%20the%20Two%20Thieves%20%28The%20Three%20Crosses%29%2C%201653%2C%20NGA%2035134.jpg,"Rembrandt van Rijn, Christ Crucified between the Two Thieves (The Three Crosses), 1653, NGA 35134.jpg","https://commons.wikimedia.org/wiki/File:Rembrandt_van_Rijn,_Christ_Crucified_between_the_Two_Thieves_(The_Three_Crosses),_1653,_NGA_35134.jpg"
55927,Q112181536,http://commons.wikimedia.org/wiki/Special:FilePath/Mosan%20Workshop%20-%20Saint%20Peter%20-%20Walters%2044101.jpg,Mosan Workshop - Saint Peter - Walters 44101.jpg,https://commons.wikimedia.org/wiki/File:Mosan_Workshop_-_Saint_Peter_-_Walters_44101.jpg
58089,Q112181540,http://commons.wikimedia.org/wiki/Special:FilePath/DredScott.jpg,DredScott.jpg,https://commons.wikimedia.org/wiki/File:DredScott.jpg
55820,Q111822220,http://commons.wikimedia.org/wiki/Special:FilePath/Monografie%20de%20la%20Cathedrale%20de%20Chartres%20-%20Atlas%20-%20Vitrail%20del%20arbre%20de%20Jesse%20Feuille%20A%20-%20Chromolithographie.jpg,Monografie de la Cathedrale de Chartres - Atlas - Vitrail del arbre de Jesse Feuille A - Chromolithographie.jpg,https://commons.wikimedia.org/wiki/File:Monografie_de_la_Cathedrale_de_Chartres_-_Atlas_-_Vitrail_del_arbre_de_Jesse_Feuille_A_-_Chromolithographie.jpg
56516,Q111821909,http://commons.wikimedia.org/wiki/Special:FilePath/A%20japanese%20madonna%20-%201900%20-%20Helen%20Hyde.jpg,A japanese madonna - 1900 - Helen Hyde.jpg,https://commons.wikimedia.org/wiki/File:A_japanese_madonna_-_1900_-_Helen_Hyde.jpg
46414,Q111842364,http://commons.wikimedia.org/wiki/Special:FilePath/Byzantinischer%20Mosaizist%20des%209.%20Jahrhunderts%20003.jpg,Byzantinischer Mosaizist des 9. Jahrhunderts 003.jpg,https://commons.wikimedia.org/wiki/File:Byzantinischer_Mosaizist_des_9._Jahrhunderts_003.jpg
56747,Q29946112,http://commons.wikimedia.org/wiki/Special:FilePath/Fritz%20von%20Uhde%20-%20Ein%20schwerer%20Gang%20%281890%29.jpg,Fritz von Uhde - Ein schwerer Gang (1890).jpg,https://commons.wikimedia.org/wiki/File:Fritz_von_Uhde_-_Ein_schwerer_Gang_(1890).jpg
54304,Q112181559,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Jesus%20Tempted%20in%20the%20Wilderness%20%28J%C3%A9sus%20tent%C3%A9%20dans%20le%20d%C3%A9sert%29%20-%20James%20Tissot%20-%20overall.jpg,Brooklyn Museum - Jesus Tempted in the Wilderness (Jésus tenté dans le désert) - James Tissot - overall.jpg,https://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Jesus_Tempted_in_the_Wilderness_(J%C3%A9sus_tent%C3%A9_dans_le_d%C3%A9sert)_-_James_Tissot_-_overall.jpg
57366,Q21778997,http://commons.wikimedia.org/wiki/Special:FilePath/R.H.%20van%20Rijn%20-%20Hoofd%20van%20Christus%20-%20NK2774%20-%20Cultural%20Heritage%20Agency%20of%20the%20Netherlands%20Art%20Collection.jpg,R.H. van Rijn - Hoofd van Christus - NK2774 - Cultural Heritage Agency of the Netherlands Art Collection.jpg,https://commons.wikimedia.org/wiki/File:R.H._van_Rijn_-_Hoofd_van_Christus_-_NK2774_-_Cultural_Heritage_Agency_of_the_Netherlands_Art_Collection.jpg
46748,Q111821746,http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20Crivelli%20026.jpg,Carlo Crivelli 026.jpg,https://commons.wikimedia.org/wiki/File:Carlo_Crivelli_026.jpg
46781,Q111822206,http://commons.wikimedia.org/wiki/Special:FilePath/Gentile%20da%20Fabriano%20033.jpg,Gentile da Fabriano 033.jpg,https://commons.wikimedia.org/wiki/File:Gentile_da_Fabriano_033.jpg
55712,Q111821980,http://commons.wikimedia.org/wiki/Special:FilePath/TaullLlatzer.jpg,TaullLlatzer.jpg,https://commons.wikimedia.org/wiki/File:TaullLlatzer.jpg
56195,Q111822086,http://commons.wikimedia.org/wiki/Special:FilePath/Beccafumi%2C%20cartone%20per%20pavimento%20duomo%20diena%2C%201529-1531%2C%2003.JPG,"Beccafumi, cartone per pavimento duomo diena, 1529-1531, 03.JPG","https://commons.wikimedia.org/wiki/File:Beccafumi,_cartone_per_pavimento_duomo_diena,_1529-1531,_03.JPG"
57838,Q111842270,http://commons.wikimedia.org/wiki/Special:FilePath/God%20is%20Love.JPG,God is Love.JPG,https://commons.wikimedia.org/wiki/File:God_is_Love.JPG
47441,Q1091086,http://commons.wikimedia.org/wiki/Special:FilePath/El%20Tres%20de%20Mayo%2C%20by%20Francisco%20de%20Goya%2C%20from%20Prado%20in%20Google%20Earth.jpg,"El Tres de Mayo, by Francisco de Goya, from Prado in Google Earth.jpg","https://commons.wikimedia.org/wiki/File:El_Tres_de_Mayo,_by_Francisco_de_Goya,_from_Prado_in_Google_Earth.jpg"
51123,Q45837417,http://commons.wikimedia.org/wiki/Special:FilePath/Conrad%20von%20Soest%20002.jpg,Conrad von Soest 002.jpg,https://commons.wikimedia.org/wiki/File:Conrad_von_Soest_002.jpg
54361,Q111821823,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandr%20Ivanov%20075.jpg,Alexandr Ivanov 075.jpg,https://commons.wikimedia.org/wiki/File:Alexandr_Ivanov_075.jpg
57332,Q111821995,http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Anoints%20Jesus%2C%20Ilyas%20Basim%20Khuri%20Bazzi%20Rahib.jpg,"Mary Anoints Jesus, Ilyas Basim Khuri Bazzi Rahib.jpg","https://commons.wikimedia.org/wiki/File:Mary_Anoints_Jesus,_Ilyas_Basim_Khuri_Bazzi_Rahib.jpg"
49946,Q111842097,http://commons.wikimedia.org/wiki/Special:FilePath/ChristAsSol.jpg,ChristAsSol.jpg,https://commons.wikimedia.org/wiki/File:ChristAsSol.jpg
55608,Q111842241,http://commons.wikimedia.org/wiki/Special:FilePath/Paruzzaro%20Chiesa%20San%20Marcello%20Sperindio%20Cagnola%20Opere%20Misericordia%2001.jpg,Paruzzaro Chiesa San Marcello Sperindio Cagnola Opere Misericordia 01.jpg,https://commons.wikimedia.org/wiki/File:Paruzzaro_Chiesa_San_Marcello_Sperindio_Cagnola_Opere_Misericordia_01.jpg
