RecordNumber,filename,commons_uri,commons_page_url
56950,0329jfOur Lady of Pentecost Parish Church Quezon City Loyola Heightsfvf 25.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/0329jfOur%20Lady%20of%20Pentecost%20Parish%20Church%20Quezon%20City%20Loyola%20Heightsfvf%2025.jpg,https://commons.wikimedia.org/wiki/File:0329jfOur_Lady_of_Pentecost_Parish_Church_Quezon_City_Loyola_Heightsfvf_25.jpg
56952,06 The Seven Pillars of Wisdom - The Seven Pillars of Wisdom - panoramio.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/06%20The%20Seven%20Pillars%20of%20Wisdom%20-%20The%20Seven%20Pillars%20of%20Wisdom%20-%20panoramio.jpg,https://commons.wikimedia.org/wiki/File:06_The_Seven_Pillars_of_Wisdom_-_The_Seven_Pillars_of_Wisdom_-_panoramio.jpg
57196,072 MS 65 F34 V.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/072%20MS%2065%20F34%20V.jpg,https://commons.wikimedia.org/wiki/File:072_MS_65_F34_V.jpg
57914,09900jfDancing Rings Rizal Park Manilafvf 11.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/09900jfDancing%20Rings%20Rizal%20Park%20Manilafvf%2011.jpg,https://commons.wikimedia.org/wiki/File:09900jfDancing_Rings_Rizal_Park_Manilafvf_11.jpg
55127,10 Gebote (Lucas Cranach d A).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/10%20Gebote%20%28Lucas%20Cranach%20d%20A%29.jpg,https://commons.wikimedia.org/wiki/File:10_Gebote_(Lucas_Cranach_d_A).jpg
57625,"1056 - Roma, Museo d. civiltà Romana - Calco sarcofago Giunio Basso - Foto Giovanni Dall'Orto, 12-Apr-2008.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/1056%20-%20Roma%2C%20Museo%20d.%20civilt%C3%A0%20Romana%20-%20Calco%20sarcofago%20Giunio%20Basso%20-%20Foto%20Giovanni%20Dall%27Orto%2C%2012-Apr-2008.jpg,"https://commons.wikimedia.org/wiki/File:1056_-_Roma,_Museo_d._civilt%C3%A0_Romana_-_Calco_sarcofago_Giunio_Basso_-_Foto_Giovanni_Dall%27Orto,_12-Apr-2008.jpg"
55186,12th-century painters - Pentecost - WGA15840.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/12th-century%20painters%20-%20Pentecost%20-%20WGA15840.jpg,https://commons.wikimedia.org/wiki/File:12th-century_painters_-_Pentecost_-_WGA15840.jpg
58051,13th Station of the Cross by Adam Kossowski.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/13th%20Station%20of%20the%20Cross%20by%20Adam%20Kossowski.jpg,https://commons.wikimedia.org/wiki/File:13th_Station_of_the_Cross_by_Adam_Kossowski.jpg
54916,13th-century painters - English Apocalypse - WGA15756.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/13th-century%20painters%20-%20English%20Apocalypse%20-%20WGA15756.jpg,https://commons.wikimedia.org/wiki/File:13th-century_painters_-_English_Apocalypse_-_WGA15756.jpg
46686,1460 Der heilige Hieronymus in der Wüste Barber Institute of Fine Arts anagoria.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/1460%20Der%20heilige%20Hieronymus%20in%20der%20W%C3%BCste%20Barber%20Institute%20of%20Fine%20Arts%20anagoria.jpg,https://commons.wikimedia.org/wiki/File:1460_Der_heilige_Hieronymus_in_der_W%C3%BCste_Barber_Institute_of_Fine_Arts_anagoria.jpg
56623,1525 Heilige Verena wäscht einem Pestkranken die Haare anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1525%20Heilige%20Verena%20w%C3%A4scht%20einem%20Pestkranken%20die%20Haare%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1525_Heilige_Verena_w%C3%A4scht_einem_Pestkranken_die_Haare_anagoria.JPG
55836,1529 Cranach Allegorie auf Gesetz und Gnade anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1529%20Cranach%20Allegorie%20auf%20Gesetz%20und%20Gnade%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1529_Cranach_Allegorie_auf_Gesetz_und_Gnade_anagoria.JPG
55002,184 Württemberg und Mömpelgard Mömpelgarder Altar You know who.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/184%20W%C3%BCrttemberg%20und%20M%C3%B6mpelgard%20M%C3%B6mpelgarder%20Altar%20You%20know%20who.jpg,https://commons.wikimedia.org/wiki/File:184_W%C3%BCrttemberg_und_M%C3%B6mpelgard_M%C3%B6mpelgarder_Altar_You_know_who.jpg
57977,1874 Monet Sommer anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1874%20Monet%20Sommer%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1874_Monet_Sommer_anagoria.JPG
56754,1879 Liebermann Der zwölfjährige Jesus im Tempel anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1879%20Liebermann%20Der%20zw%C3%B6lfj%C3%A4hrige%20Jesus%20im%20Tempel%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1879_Liebermann_Der_zw%C3%B6lfj%C3%A4hrige_Jesus_im_Tempel_anagoria.JPG
55627,1883 Ivanov Blinde anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1883%20Ivanov%20Blinde%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1883_Ivanov_Blinde_anagoria.JPG
55507,1890 van Gogh First Steps - after Millet anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1890%20van%20Gogh%20First%20Steps%20-%20after%20Millet%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1890_van_Gogh_First_Steps_-_after_Millet_anagoria.JPG
57845,19-22-011-museum.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/19-22-011-museum.jpg,https://commons.wikimedia.org/wiki/File:19-22-011-museum.jpg
56839,1907 Feddersen Heimkehr des verlorenen Sohnes anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1907%20Feddersen%20Heimkehr%20des%20verlorenen%20Sohnes%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:1907_Feddersen_Heimkehr_des_verlorenen_Sohnes_anagoria.JPG
57197,19th century black heaven.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/19th%20century%20black%20heaven.jpg,https://commons.wikimedia.org/wiki/File:19th_century_black_heaven.jpg
56211,2009 - COMMUNITY MURAL-in-the-Round PROJECT Big Draw at Mary Martha House Store.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/2009%20-%20COMMUNITY%20MURAL-in-the-Round%20PROJECT%20Big%20Draw%20at%20Mary%20Martha%20House%20Store.JPG,https://commons.wikimedia.org/wiki/File:2009_-_COMMUNITY_MURAL-in-the-Round_PROJECT_Big_Draw_at_Mary_Martha_House_Store.JPG
55449,2012-02-Kathedrale Sancti Spiritus 04 anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/2012-02-Kathedrale%20Sancti%20Spiritus%2004%20anagoria.JPG,https://commons.wikimedia.org/wiki/File:2012-02-Kathedrale_Sancti_Spiritus_04_anagoria.JPG
