qid,act_id,label,description,image_filename
Q20565644,50338,Saint Mary Magdalen,painting by Ugolino di Nerio,"Saint Mary Magdalen.1320.Ugolino di Nerio. Boston, MFA.jpg"
Q20551561,50339,Crucified Christ with the Virgin and Saint John the Evangelist,painting by Naddo Ceccarelli,Naddo Ceccarelli - Crucified Christ with the Virgin and Saint John the Evangelist - 16.117 - Museum of Fine Arts.jpg
Q20539589,50340,The Meeting of Solomon and the Queen of Sheba; Cherub Holding Cornucopias of Cherries (recto and verso),painting by Francesco del Cossa,"Francesco del Cossa - The Meeting of Solomon and the Queen of Sheba, Cherub Holding Cornucopias of Cherries (recto and verso) - 17.198 - Museum of Fine Arts.jpg"
Q20540661,50341,The Sower,painting by Jean-François Millet,Jean-François Millet - The Sower - Google Art Project.jpg
Q20540619,50342,In the Vineyard,painting by Jean-François Millet,Jean-François Millet - In the Vineyard - 17.1487 - Museum of Fine Arts.jpg
Q20634704,50343,Girl Reading,painting by Edmund Charles Tarbell,Edmund C. Tarbell - Girl Reading - 09.209 - Museum of Fine Arts.jpg
Q20776356,50344,Christ Rejected,"painting by Unidentified artist, American, early 19th century","Unidentified artist, American, early 19th century - Christ Rejected - 11.8 - Museum of Fine Arts.jpg"
Q20550009,50345,The Crucifixion and Scenes from the Life of Saint John the Baptist,painting by Master of Saint Severin,Master of Saint Severin - The Crucifixion and Scenes from the Life of Saint John the Baptist - 12.169a-e - Museum of Fine Arts.jpg
Q20540869,50346,The Crucifixion,painting by Joos van Cleve,Joos van Cleve - The Crucifixion - 12.170 - Museum of Fine Arts.jpg
Q20635236,50347,Hillside in Summer,painting by John Appleton Brown,John Appleton Brown - Hillside in Summer - 19.1323 - Museum of Fine Arts.jpg
Q20539853,50348,Saint Stephen,painting by Gherardo di Jacopo Starnina,Gherardo di Jacopo Starnina - Saint Stephen - 20.1855b - Museum of Fine Arts.jpg
Q20539855,50349,Isaiah with Two Angels,painting by Gherardo di Jacopo Starnina,Gherardo di Jacopo Starnina - Isaiah with Two Angels - 20.1856 - Museum of Fine Arts.jpg
Q20539859,50351,Jeremiah with Two Angels,painting by Gherardo di Jacopo Starnina,Gherardo di Jacopo Starnina - Jeremiah with Two Angels - 20.1857 - Museum of Fine Arts.jpg
Q20634888,50352,The Church Spire,painting by George Inness,George Inness - The Church Spire - 20.1863 - Museum of Fine Arts.jpg
Q20538945,50495,Entrance to the Village of Vétheuil in Winter,painting by Claude Monet,"Monet - Entrance to the Village of Vétheuil in Winter, 1879.jpg"
Q20538977,50496,Fox in a Trap,painting by Constant Troyon,Constant Troyon - Fox in a Trap - 21.8 - Museum of Fine Arts.jpg
Q20776664,50498,The Angel Releasing St. Peter from Prison,painting by Washington Allston,Washington Allston - The Angel Releasing St. Peter from Prison - 21.1379 - Museum of Fine Arts.jpg
Q20776670,50499,Moonlight,painting by Washington Allston,Moonlit Landscape.jpg
Q20556704,50500,Interior of Antwerp Cathedral at Night,painting by Pieter Neeffs,Pieter Neeffs - Interior of Antwerp Cathedral at Night - 21.1456 - Museum of Fine Arts.jpg
Q20538260,50502,Salome with the Head of Saint John the Baptist,painting by Bernardino Luini,Bernardino Luini - Salome with the Head of St John the Baptist - WGA13769.jpg
Q20771600,50506,The Master and His Pupils,painting by John Singer Sargent,John Singer Sargent - The Master and His Pupils - Google Art Project.jpg
Q20537871,50527,Meeting of Solomon and the Queen of Sheba,painting by Apollonio di Giovanni di Tomaso,Apollonio di Giovanni di Tomaso - Meeting of Solomon and the Queen of Sheba - 30.495 - Museum of Fine Arts.jpg
Q20551903,50530,Saint John the Evangelist and a Deacon Saint (right panel),painting by Niccolò di Ser Sozzo,Niccolò di Ser Sozzo - Saint John the Evangelist and a Deacon Saint (right panel) - 83.175c - Museum of Fine Arts.jpg
Q20539553,50625,Judah and Tamar,painting by Ferdinand Bol,Ferdinand Bol - Judah and Tamar - 17.3268 - Museum of Fine Arts.jpg
Q20771738,50630,Saul Reproved by Samuel,painting by John Singleton Copley,Samuel reproving Saul.jpg
Q20539797,50927,Lion and Lioness,painting by George Stubbs,George Stubbs - Lion and Lioness - 49.6 - Museum of Fine Arts.jpg
Q20354793,50928,The Seventh Plague,painting by John Martin,"Martin, John - The Seventh Plague - 1823.jpg"
Q20564140,50929,A Buckwheat Field on Thomas Cole's Farm,painting by Thomas Charles Farrer,Thomas Charles Farrer - A Buckwheat Field on Thomas Cole's Farm - 62.265 - Museum of Fine Arts.jpg
Q20772727,50930,Still Life with Fruit,painting by Joseph Goodhue Chandler,Joseph Goodhue Chandler - Still Life with Fruit - 62.267 - Museum of Fine Arts.jpg
Q20556672,50932,Wedding Night of Tobias and Sarah,painting by Pieter Lastman,"Wedding Night of Tobias and Sarah - MFA, Boston SC239460.jpg"
Q20634473,50933,Landscape with Birches,painting by Asher Brown Durand,Asher Brown Durand - Landscape with Birches - 63.268 - Museum of Fine Arts.jpg
Q20634475,50934,Woodland Interior,painting by Asher Brown Durand (Boston Museum of Fine Arts),Asher Brown Durand - Woodland Interior - 63.269 - Museum of Fine Arts.jpg
Q20774629,50937,Hummingbirds with Nest,painting by Martin Johnson Heade,Martin Johnson Heade - Hummingbirds with Nest - 64.429 - Museum of Fine Arts.jpg
Q20634697,50938,Writing to Father,painting by Eastman Johnson,Eastman Johnson - Writing to Father.jpg
Q20567477,50941,The Taking of Christ,"painting by Unidentified artist, Flemish, 17th century","Unidentified artist, Flemish, 17th century - The Taking of Christ - 1979.154 - Museum of Fine Arts.jpg"
Q20539993,50942,Fruit Displayed on a Stand,painting by Gustave Caillebotte,Gustave Caillebotte - Fruit Displayed on a Stand - Google Art Project.jpg
Q20539095,50943,Saint Mary Magdalen Penitent,painting by Domenico Fetti,"Fetti, Domenico - Saint Mary Magdalene Penitent -1615.jpg"
Q20771497,51086,Breaking Up of Winter,painting by John Joseph Enneking,John Joseph Enneking - Breaking Up of Winter - 1980.260 - Museum of Fine Arts.jpg
Q20555862,51087,"Knight Vanquishing Time, Death, and Monstrous Demons",painting by Philips Wouwerman,"Philips Wouwerman - Knight Vanquishing Time, Death, and Monstrous Demons - 1981.78 - Museum of Fine Arts.jpg"
Q20555340,51088,The Return of the Prodigal Son,painting by Peter Brandl,Peter Brandl - The Return of the Prodigal Son - 1973.89 - Museum of Fine Arts.jpg
Q20555288,51089,Saint Stephen Mourned by Saints Gamaliel and Nicodemus,painting by Pensionante del Saraceni,Stephengamalielnicodemus.jpg
Q20550383,51090,The Entombment of Christ,painting by Mathieu Le Nain,Mathieu Le Nain - The Entombment of Christ - 1978.225 - Museum of Fine Arts.jpg
Q20776421,51091,Isaac Blessing Jacob,"painting by Unidentified artist, American, mid-19th century","Unidentified artist, American, mid-19th century - Isaac Blessing Jacob - 1977.774 - Museum of Fine Arts.jpg"
Q20789828,51094,Vase of Flowers,"painting by George Cochran Lambdin (MFA, 64.458)",George Cochran Lambdin - Vase of Flowers - 64.458 - Museum of Fine Arts.jpg
Q20550146,51096,Virgin and Child,painting by Master of the Johnson Nativity,Master of the Johnson Nativity - Virgin and Child - 64.2379 - Museum of Fine Arts.jpg
Q20777792,51097,The Drummer Boy,painting by William Morris Hunt,The Drummer Boy William Morris Hunt.jpeg
Q20563900,51099,Christ and the Samaritan Woman,painting by Sébastien Bourdon,Sébastien Bourdon - Christ and the Samaritan Woman - 68.23 - Museum of Fine Arts.jpg
Q20563962,51100,Rebecca and Eleazar,painting by Sébastien Bourdon,Sébastien Bourdon - Rebecca and Eleazar - 68.24 - Museum of Fine Arts.jpg
Q20635271,51101,Tuckered Out —The Shoeshine Boy,painting by John George Brown,"John George Brown, 1888 - The Shoeshine Boy.jpg"
Q20539016,51102,Vanitas Still Life,painting by Cornelis Norbertus Gijsbrechts,Cornelis-Norbertus-Gijsbrechts 001.jpg
Q20634496,51103,St. Peter Released from Prison,painting by Benjamin West,Benjamin West - St. Peter Released from Prison - 58.974 - Museum of Fine Arts.jpg
Q20540058,51104,Boy Singing,painting by Hendrick ter Brugghen,Hendrick ter Brugghen - Singing Boy - WGA22184.jpg
Q20550347,51105,"The Crucifixion with the Virgin, Saints John, and Mary Magdalen",painting by Mathieu Le Nain,"Mathieu Le Nain - The Crucifixion with the Virgin, Saints John, and Mary Magdalen - 58.1197 - Museum of Fine Arts.jpg"
Q20536897,51115,Rest on the Flight into Egypt,painting by Aert de Gelder,The Rest on The Flight into Egypt - Arent de Gelder - Q20536897.jpg
Q20565862,51119,Christ as the Man of Sorrows,"painting by Unidentified artist, Alsatian, 2nd half 15th century",Schmerzensmann.jpg
Q20540155,51120,Franco van Langhel and His Sons with Saint John the Evangelist (outer face); Pieter van Os with Saint Peter (inner face),painting by Hieronymus Bosch,Workshop of J. Bosch Franco van Langhel and His Sons with Saint John the Evangelist.jpg
Q20540155,51120,Franco van Langhel and His Sons with Saint John the Evangelist (outer face); Pieter van Os with Saint Peter (inner face),painting by Hieronymus Bosch,Workshop of J. Bosch Pieter van Os with St Peter.jpg
Q20561449,51122,Saint Andrew (?),painting by Simone Martini in the Museum of Fine Arts Boston,Simone Martini - Saint Andrew.jpg
Q45837417,51123,Passionsaltar (Bad Wildungen),Altarpiece by Conrad von Soest,Conrad von Soest 002.jpg
Q20539748,51124,Old Man and a Child,painting by Gaspare Traversi,Gaspare Traversi - Old Man and a Child - WGA23051.jpg
Q20775544,51128,Girls in Sunlight,painting by Philip Leslie Hale,Philip Leslie Hale - Girls in Sunlight - 53.2209 - Museum of Fine Arts.jpg
Q2016399,51129,Twelfth-Night Feast by Jan Steen,painting by Jan Steen,Twelfth-Night Feast - Jan Steen - MFA.jpg
Q27964274,51130,Moses Striking the Rock,painting by Bacchiacca (Francesco Ubertini),Bacchiacca - Moses Striking the Rock.jpg
Q20540011,51132,Stream in the Forest,painting by Gustave Courbet,Gustave Courbet - Stream in the Forest - 55.982 - Museum of Fine Arts.jpg
Q20540153,51134,Instruments of the Passion of Christ,painting by Hieronymus Bosch,Workshop of J. Bosch Predella.jpg
Q20556544,51136,"Still Life with Stoneware Jug, Wine Glass, Herring, and Bread",painting by Pieter Claesz.,"Pieter Claesz. - Still Life with Stoneware Jug, Wine Glass, Herring, and Bread - 13.458 - Museum of Fine Arts.jpg"
Q20538088,51137,Adoration of the Magi,painting by Bartholome Zeitblom,Bartholome Zeitblom - Adoration of the Magi - 50.2720 - Museum of Fine Arts.jpg
Q46925714,51139,Shepherd and Sheep,painting by Anton Mauve,"'Shepherd and Sheep' by Anton Mauve, Cincinnati Art Museum.JPG"
Q56146184,53076,At Dawn,painting by Charles Hermans,Charles Hermans.jpg
Q110561822,53078,A mosaic map of 6th century Jerusalem,mosaic,Madaba Jerusalem Mosaic.jpg
Q20185795,53085,Peaceable Kingdom,"painting by Edward Hicks (NGA, 1980.62.15)",Edward Hicks - Peaceable Kingdom.jpg
Q2344437,54165,The Transfiguration,painting by Raphael,Transfiguration Raphael.jpg
Q20020128,54214,Woman nursing by a cradle with a dog at her feet,painting by Pieter de Hooch,Pieter de Hooch - Mother Nursing Her Child - 89.39 - Detroit Institute of Arts.jpg
Q3204090,54219,The Burning of the Houses of Lords and Commons,painting by J. M. W. Turner in the Philadelphia Museum of Art,"Joseph Mallord William Turner, English - The Burning of the Houses of Lords and Commons, October 16, 1834 - Google Art Project.jpg"
Q29788849,54227,Christ And Zacchaeus,painting by Niels Larsen Stevns,Niels Larsen Stevns- Zakæus.jpg
Q105103891,54233,The Light of the World,painting by William Holman Hunt in Manchester Art Museum,Hunt Light of the World.jpg
Q1134250,54234,The Massacre of the Innocents,painting by Pieter Brueghel the Elder,"BRUEGEL the Elder, Pieter - Massacre of the Innocents (1565-7).JPG"
Q1134250,54234,The Massacre of the Innocents,painting by Pieter Brueghel the Elder,Pieter Bruegel the Elder - Massacre of the Innocents - Google Art Project.jpg
Q1134250,54234,The Massacre of the Innocents,painting by Pieter Brueghel the Elder,Pieter Bruegel the Elder (c. 1525-1569) - Massacre of the Innocents - RCIN 405787 - Royal Collection.jpg
Q20812907,54263,Noah's Ark,painting by Edward Hicks,Noahs Ark.jpg
Q28008117,54267,Jacob Encountering Rachel with her Father's Herds,painting by Joseph von Führich,Joseph von Führich - Jakob begegnet Rahel bei den Herden ihres Vaters - 2095 - Kunsthistorisches Museum.jpg
Q724893,54272,Ashburnham Pentateuch,illuminated manuscript,AshburnPenatuchtFolio076rMosesReceivingLaw.jpg
Q28554004,54299,The Temptation in the Wilderness,painting by John St John Long,John St John Long (1798-1834) - The Temptation in the Wilderness - T04169 - Tate.jpg
Q19858240,54302,Jesus Carried up to a Pinnacle of the Temple,painting by James Tissot,Brooklyn Museum - Jesus Carried up to a Pinnacle of the Temple (Jésus porté sur le pinacle du Temple) - James Tissot - overall.jpg
Q19858239,54303,Jesus Transported by a Spirit onto a High Mountain,work by James Tissot,Brooklyn Museum - Jesus Transported by a Spirit onto a High Mountain (Jésus transporté par l'esprit sur une haute montagne) - James Tissot - overall.jpg
Q110561836,54305,Baptism of Jesus,fresco by Castera Bazile,PortAuPrinceMural.jpg
Q110561997,54362,The Reverend Absalom Jones,painting by Raphaelle Peale,Absalom-Jones Peale.jpg
Q733890,54435,Santa Prassede,medieval church in Rome,"Interior of Basilica di Santa Prassede, Rome.JPG"
Q4785573,54446,Archangel ivory,,Byzantine ivory 801.jpg
Q110561931,54454,"Mausoleum of Grigor Tatevatsi, in the Tatev Monastery, Armenia",architectural structure,"Monasterio de Tatev, Armenia, 2016-10-01, DD 86-88 HDR.jpg"
Q6399196,54460,Khakhuli triptych,"large repoussé triptych icon of the Theotokos (Virgin Mary) from Khakhuli (now on display at Art Museum of Georgia) created in medieval Georgia, incorporating over 100 specimens of Georgian and Byzantine cloisonné enamel dated 8th-12th century",Georgia Khakhuli triptych.jpg
Q110561923,54466,Leaf from Codex Washingtonensis,manuscript by artist unknown,Codex Washingtonensis W 032.JPG
Q25415445,54470,Saint Anne,Makurian wall painting in Sudan,"Autor nieznany, św. Anna - fragment postaci. Malowidło ścienne.jpg"
Q28146808,54480,Archangel Michael with a horn trumpet and an orb,painting by anonymous,Faras - Archangel Michael with a horn trumpet and an orb - Google Art Project.jpg
Q807809,54502,Barberini ivory,relief,Diptych Barberini Louvre OA9063 whole.jpg
Q1106441,54506,Rossano Gospels,manuscript,RossanoGospelsChristBeforePilate.jpg
Q110561915,54592,John VI Kantakouzenos,manuscript,John VI Kantakouzenos.jpg
Q27970539,54668,Prodigal Son,painting by Gabriel Metsu,Gabriël Metsu - The Prodigal Son - WGA15090.jpg
Q11825956,54669,The Return of the Prodigal Son,painting by Bartolome Esteban Murillo,Return of the Prodigal Son 1667-1670 Murillo.jpg
Q18147656,54713,The Good Samaritan,sculpture by François Sicard,Good Samaritan Sicard Tuileries.jpg
Q19911871,54715,The Good Samaritan,painting by Attributed to Domenico Fetti,The Good Samaritan MET DP278746.jpg
Q18686218,54717,The Good Samaritan,painting by Jacopo Bassano,Jacopo Bassano - The Good Samaritan - Google Art Project.jpg
Q18684720,54743,Christ and the Samaritan Woman,painting by Duccio di Buoninsegna,Duccio di Buoninsegna - Christ and the Samaritan Woman - Google Art Project.jpg
Q19966562,54745,Christ and the Woman of Samaria,painting by Annibale Carracci in the Pinacoteca di Brera,Annibale Carracci - The Samaritan Woman at the Well - WGA4446.jpg
Q65645691,54747,Christ and Samaritan woman,painting by Henryk Siemiradzki from 1890,Siemiradzki-Chrystus i Samarytanka.jpg
Q29952142,54748,Christ and the Samaritan woman at the well,painting by Angelika Kauffmann,Angelika Kauffmann - Christus und die Samariterin am Brunnen -1796.jpeg
Q110561848,54763,Christ and the Samaritan Woman,fresco by Manuel Panselinos,Photina of Protat.JPG
Q84422877,54766,Samaritan woman,painting by Julio Romero de Torres,Samaritana by Julio Romero de Torres.jpg
Q19858274,54791,The Lost Drachma,painting by James Tissot,Brooklyn Museum - The Lost Drachma (La drachme perdue) - James Tissot - overall.jpg
Q50884435,54807,The Sacrifice of Isaac,painting by Alessandro Allori,The Sacrifice of Isaac - Alessandro Allori.jpg
Q63438221,54821,Abraham Praying before the Three Angels by Giovanni Battista Tiepolo,painting by Giovanni Battista Tiepolo,Giovanni Battista Tiepolo 001.jpg
Q110561970,54822,Sacrifice of Isaac,painting by Michelangelo Merisi da Caravaggio,Sacrifice of Isaac-Caravaggio (c. 1603).jpg
Q3944648,54825,The Sacrifice of Isaac,sculpture by Filippo Brunelleschi,"Brunelleschi, sacrificio di Isacco.JPG"
Q19858725,54832,The Good Samaritan,painting by James Tissot,Brooklyn Museum - The Good Samaritan (Le bon samaritain) - James Tissot.jpg
Q3947115,54928,St. Francis in the Desert,"painting by Giovanni Bellini, Frick Collection",Giovanni Bellini - Saint Francis in the Desert - Google Art Project.jpg
Q19896698,54929,Salisbury Cathedral from the Bishop's Garden,"painting by John Constable, The Frick Collection",John Constable - Salisbury Cathedral from the Bishop's Garden - Google Art Project.jpg
Q17491105,54931,Compassion,painting by William Bouguereau,William-Adolphe Bouguereau (1825-1905) - Compassion (1897).jpg
Q18683101,54932,The Road to Emmaus,painting by Altobello Melone,Altobello Melone - The Road to Emmaus - Google Art Project.jpg
Q18684607,54935,Metropolitan Alexis,painting by Dionisius,Dionisy - Митрополит Алексий - Google Art Project.jpg
Q3740793,54936,Faith,painting by Piero del Pollaiolo,Piero del Pollaiolo faith.jpg
Q20195412,54940,Third Class Carriage,painting by Honoré Daumier (San Francisco),Third Class Carriage (1856-1858) by Honore Daumier.jpg
Q20202585,54941,The Marriage of Tobias and Sarah (The Marriage Contract),painting by Jan Steen,"Steen, Jan Havickszoon - The Marriage of Tobias and Sarah - c. 1673.jpg"
Q20202629,54942,The Meeting of Saint Dominic and Saint Francis of Assisi,painting by Fra Angelico,"Angelico, incontro tra i santi domencio e francesco.jpg"
Q1959777,54948,"Belles Heures of Jean de France, Duc de Berry",early 15th-century illuminated manuscript book of hours,Belles heures jean duc de berry annunciation.jpg
Q2752079,54950,The Dead Christ with Angels,painting by Édouard Manet,Édouard Manet - Le Christ mort et les anges.jpg
Q78644155,54957,Christ Healing the Blind,painting by Nicolas Colombel,Nicolas Colombel - Christ Healing the Blind.jpg
Q110561826,54971,"Alfa i Omega Monument on Torredembarra beach, Catalonia",sculpture,Alfa i Omega Torredembarra.jpg
Q21725522,54978,Parable of the Workers in the Vineyard,"painting by Koninck, Salomon",Salomon Koninck - Parable of the Workers in the Vineyard - WGA12249.jpg
Q19905324,54980,The Parable of the Mote and the Beam,painting by Domenico Fetti,Domenico Fetti - The Parable of the Mote and the Beam.jpg
Q22672612,54992,The Prodigal Son,painting by Jan Sanders van Hemessen,Jan Sanders van Hemessen-Enfant Prodigue IMG 1469.JPG
Q110561978,54997,Satan Sowing,drawing by Félicien Rops,Satansowing.JPG
Q19858323,55003,The Tower of Siloam,work by James Tissot,Brooklyn Museum - The Tower of Siloam (Le tour de Siloë) - James Tissot.jpg
Q19858289,55004,The Sower,painting by James Tissot,Brooklyn Museum - The Sower (Le semeur) - James Tissot - overall.jpg
Q110561942,55005,"Parable of the Prodigal Son, detail",tapestry,Picnic tournai tapisserie.jpg
Q21965811,55010,Parable of the Hidden Treasure,painting by Rembrandt or Dou,Parable of the hidden treasure Rembrandt - Gerard Dou.jpg
Q42878315,55026,Christ and the Disciples at Emmaus,painting by Pascal Dagnan-Bouveret,WLA cma Christ and the Disciples at Emmaus.jpg
Q75846,55030,Christ Washing the Disciples' Feet,painting by Jacopo Tintoretto (Prado),El Lavatorio (Tintoretto).jpg
Q21716411,55031,Christ on the Road to Emmaus,painting by Jan Wildens,Jan Wildens Landscape with Christ and his Disciples on the Road to Emmaus.jpg
Q19858795,55032,The Disciples Having Left Their Hiding Place Watch from Afar in Agony,painting by James Tissot,Brooklyn Museum - The Disciples Having Left Their Hiding Place Watch from Afar in Agony - James Tissot.jpg
Q3232117,55038,The disciples Peter and John running to the tomb on the morning of the resurrection,painting by Eugène Burnand,BurnandJeanPierre.jpg
Q69495819,55039,Christ at Emmaus,painting by Bernardo Strozzi,Bernardo Strozzi - Le Christ à Emmaüs.jpg
Q19858364,55114,Barabbas,watercolor by James Tissot,Brooklyn Museum - Barabbas - James Tissot.jpg
Q56377651,55116,Christ Carried to the Tomb,painting by Antonio Ciseri,Antonio Ciseri - Il trasporto di Cristo al sepolcro.jpg
Q110561840,55136,"Battle for soul at death, from the Grandes Heures de Rohan",manuscript by 15th cent. Rohan Master,"Le Mort devant son juge, Maitre de Rohan.jpg"
Q110561999,55139,Thou shalt not commit adultery (Nathan confronts David),sculpture by active 15th century Rohan Master,Nathan and David.jpg
Q110561893,55161,"Hannah, prophetess and mother of Samuel, thanking God",manuscript by artist unknown,Anne BnF Grec 139 fol. 428v.jpg
Q19858722,55165,He Who is of God Hears the Word of God,painting by James Tissot,Brooklyn Museum - He Who is of God Hears the Word of God (Celui de Dieu entend la parole de Dieu) - James Tissot.jpg
Q7809947,55175,Tithe Barn,"historic building at Cumhill Farm in Pilton, Somerset, England",Tithe Barn Pilton.jpg
Q1866167,55178,Liuthar Gospels,,Liuthar-Evangeliar.jpg
Q97061151,55180,God Inviting Christ to Sit on the Throne at His Right Hand,painting by Pieter de Grebber,De Grebber-God Inviting Christ to Sit on the Throne at His Right Hand.jpg
Q837848,55185,Rohan Hours,illuminated manuscript,Lamentation of the Virgin Rohan.jpg
Q3947114,55191,Renunciation of Wordly Goods,painting by Giotto di Bondone,Giotto - Legend of St Francis - -05- - Renunciation of Wordly Goods.jpg
Q99762480,55192,Renunciation of Worldly Goods,Fresco by Domenico Ghirlandaio in the Sassetti Chapel,Cappella Sassetti Renunciation of Worldly Goods.jpg
Q8874171,55200,Hope,1886 painting by George Frederic Watts,Assistants and George Frederic Watts - Hope - Google Art Project.jpg
Q19892431,55215,Feast in the House of Simon the Pharisee,painting by Peter Paul Rubens,Rubens-Feast of Simon the Pharisee.jpg
Q29960245,55232,Sarah presenting Hagar to Abraham,painting by Adriaen van der Werff,Adriaen van der Werff Sarah presenting Hagar to Abraham.jpg
Q26693115,55241,"The Interior of the Oude Kerk, Amsterdam",painting by Emanuel de Witte (National Gallery NG6402),"Emanuel de Witte - The Interior of the Oude Kerk, Amsterdam, during a Sermon - WGA25813.jpg"
Q977200,55254,Holy Trinity,fresco by Masaccio,"Masaccio, trinità.jpg"
Q2133670,55259,Great Canterbury Psalter,"Psalter created in 1200 in Canterbury, finished by Ferrer Bassa in 1340 in Barcelona",Saltiri anglocatalà f1r.jpg
Q110561852,55279,Christ Before Caiaphas,painting by Matthias Stomer,"Mattias Stom, Christ before Caiaphas.jpg"
Q1851182,55280,Two Male Heads,painting formerly attributed to Jheronimus Bosch,Annas and Kajafas 001.jpg
Q19858744,55286,The Chief Priests Ask Jesus by What Right Does He Act in This Way,painting by James Tissot,Brooklyn Museum - The Chief Priests Ask Jesus by What Right Does He Act in This Way - James Tissot.jpg
Q19858741,55287,The Chief Priests Take Counsel Together,painting by James Tissot,Brooklyn Museum - The Chief Priests Take Counsel Together (Les princes des prêtres se consultent) - James Tissot.jpg
Q3613127,55293,Christ before Pilate,painting by  the Master Bertram,Meister Bertram von Minden 010.jpg
Q3613127,55293,Christ before Pilate,painting by  the Master Bertram,Meister Bertram von Minden 011.jpg
Q4517307,55296,"""What is truth?"" Christ and Pilate",painting by Nikolai Ge,What is truth.jpg
Q26221146,55315,Harvest in Provence,painting by Vincent van Gogh,Vincent Van Gogh - Corn Harvest in Provence - Google Art Project.jpg
Q20176398,55336,The Miraculous Draught of Fishes,painting by Jacopo Bassano,Miraculous Draught of Fishes-Bassano.jpg
Q20180268,55337,The Miraculous Draught of Fishes,painting by Joachim Beuckelaer,Beuckelaer - The Miraculous Draught of Fishes.jpg
Q3900659,55340,The Miraculous Draft of Fishes,painting by Raphael,Petri Fischzug Raffael.jpg
Q9019507,55342,The Miraculous Draft of Fishes,painting by Konrad Witz,Konrad Witz. Der Wunderbare Fischzug (1444).jpg
Q110561904,55344,"Jeanne Jugan, founder of Little Sisters of the Poor",painting by Leon Brune,Jeanne Jugan.jpg
Q12092902,55361,Appointment of a prisoner with his family,painting by Vasily Petrovich Vereshchagin,Appointment of a prisoner with his family.jpg
Q1132723,55362,Prisoners Exercising,painting by Vincent van Gogh,La Ronde des Prisonniers. Vincent Van Gogh. 1890 - 51808202310.jpg
Q19858673,55366,The Brow of the Hill near Nazareth,work by James Tissot,Brooklyn Museum - The Brow of the Hill near Nazareth (L'escarpement de Nazareth) - James Tissot.jpg
Q110561846,55368,Charity to Street Arab,print,Charity to Street Arab.jpg
Q110562005,55377,Transfiguracion del Divino Salvador del Mundo,architectural structure,Transfiguracion del Divino Salvador del Mundo.jpg
Q8049268,55388,Yard with Lunatics,painting by Francisco Goya,Courtyard with Lunatics by Goya 1794.jpg
Q45585,55396,The Starry Night,painting by Vincent van Gogh,Van Gogh - Starry Night - Google Art Project.jpg
Q613826,55401,Mano del Desierto,"Sculpture of a hand in the Atacama Desert, Chile",ManodelDesierto(Panoramica).jpg
Q10510299,55402,Guds hand,Statue by Swedish artist Carl Milles,Guds hand 2007.jpg
Q26221349,55406,Man Digging in the Orchard,,Van Gogh - In the Orchard - 1883.jpg
Q28914344,55407,Larin Paraske sings dirges,painting by Albert Edelfelt,Albert Edelfelt Larin Paraske Sings Requiems.jpg
Q22274084,55410,The Dancing Lesson,painting by Thomas Eakins,The dancing lesson thomas eakins.jpeg
Q28782676,55411,Christ in Glory,painting by Francesco Bassano the Younger,Francesco Bassano the Younger - Christ in Glory - Google Art Project.jpg
Q3926028,55412,Angel Playing the Lute,painting by Rosso Fiorentino,Rosso Fiorentino - Madonna dello Spedalingo - Google Art Project.jpg
Q27968165,55418,The Reconciliation of Jacob and Esau,painting by Peter Paul Rubens in the Scottish National Gallery,Rubens Reconciliation of Jacob and Esau.jpg
Q18748376,55421,Mary Magdalen,painting by Andrea Solario,Andrea Solario - Mary Magdalen - Walters 37509.jpg
Q6780231,55422,Mary Magdalene,painting by Frederick Sandys,Mariya Magdalena.jpg
Q19883586,55426,Laugh,painting by Umberto Boccioni,Umberto Boccioni - Laughter.jpg
Q27698075,55453,Christ on the Way to Calvary,painting by Titian,Titian - Christ Carrying the Cross - WGA22830.jpg
Q18748543,55473,Vision of Cornelius the Centurion,painting by Gerbrand van den Eeckhout,Gerbrand van den Eeckhout - Vision of Cornelius the Centurion - Walters 372492.jpg
Q18748352,55475,The Suicide,painting by Alexandre-Gabriel Decamps,Alexandre-Gabriel Decamps - The Suicide - Walters 3742.jpg
Q20442379,55476,"Ullswater, early morning",painting by John Glover,"John Glover - Ullswater, early morning - Google Art Project.jpg"
Q110561884,55483,Fugitive Slaves in the Dismal Swamp,painting by David Edward Cronin,Great Dismal Swamp-Fugitive Slaves.jpg
Q642023,55487,The Old Plantation,painting attributed to John Rose,SlaveDanceand Music.jpg
Q17328685,55489,Children of the Sea,painting by Jozef Israëls,Jozef Israëls - Kinderen der zee 1872.jpg
Q3921662,55491,Le Printemps,painting by Jean-François Millet,Jean-François Millet (II) - Spring - WGA15693.jpg
Q20526131,55508,Sunday Morning,painting by Thomas Waterman Wood,Thomas Waterman Wood - Sunday Morning - Google Art Project.jpg
Q3887821,55523,"Uzziah, Jotham and Ahaz",fresco painting by Michelangelo in the Sistine Chapel,"Michelangelo, lunetta, Uzziah - Jotham - Ahaz 01.jpg"
Q20442040,55524,The widower,painting by Sir Luke Fildes,Sir Luke Fildes - The widower - Google Art Project.jpg
Q23762992,55525,"Widow Costard's cow and goods, distrained for taxes, are redeemed by the generosity of Johnny Pearmain",painting by Edward Penny RA,"Edward Penny - Widow Costard's cow and goods, distrained for taxes, are redeemed by the generosity of Johnny Pearma... - Google Art Project.jpg"
