qid,act_id,label,description,image_filename
Q3154803,46519,Isaac Rejecting Esau,painting by Giotto di Bondone,Giotto di Bondone 080.jpg
Q65138554,46560,The Zemstvo dines,painting by Grigoriy Myasoyedov,Grigorij Grigorjewitsch Mjassojedow 001.jpg
Q110561964,46586,"Regent receiving a falcon, surrounded by birds",painting by Brügger Meister von 1482,Brügger Meister von 1482 001.jpg
Q21589744,46587,Christ taking leave of his Mother,painting by Bernhard Strigel,Bernhard Strigel Abschied Christi von seiner Mutter.jpg
Q20546827,46606,Moses and the Israelites after the Miracle of Water from the Rock,painting by Lucas van Leyden,Lucas van Leyden - Moses and the Israelites after the Miracle of Water from the Rock - 54.1432 - Museum of Fine Arts.jpg
Q6102310,46607,Rebecca and Eliezer,painting by Bartolomé Esteban Murillo,Bartolomé Esteban Perez Murillo 022.jpg
Q9396638,46611,Holy Family with St. John the Baptist,painting by Bartolomé Esteban Murillo,Bartolomé Esteban Perez Murillo 007.jpg
Q743643,46626,Joseph the Carpenter,painting by Georges de La Tour,La Tour.jpg
Q110561949,46630,Philip the Apostle,painting by Georges du Mesnil de La Tour,Georges de La Tour 053.jpg
Q50829079,46631,The Annunciation,painting by Barthélemy d'Eyck,Barthélemy d' Eyck 002.jpg
Q110561954,46635,"Portrait of Pope John VII, presenting model of a newly dedicated church",mosaic,Byzantinischer Mosaizist um 705 002.jpg
Q110561855,46638,Christ Pantocrator,mosaic by artist unknown,Byzantinischer Mosaizist um 1020 001.jpg
Q19926286,46641,The Israelites Leaving Egypt,painting by David Roberts,David Roberts 001.jpg
Q602530,46655,Baptism of Christ,triptych by Gerard David,"Doopsel van Christus, circa 1502 - circa 1508, Groeningemuseum, 0040009000.jpg"
Q64799025,46656,The Annunciation,painting by Gerard David (Städel 1095),Gerard David 005.jpg
Q21082207,46661,Boy Cleaning His Dog's Coat,painting by Gerard ter Borch,Gerard ter Borch d. J. 012.jpg
Q50985279,46672,The Holy Ark falling in the hands of the Philistines,painting by Gerrit Claesz. Bleker,Gerrit Claesz. Bleker 001.jpg
Q17354853,46674,The Prophet Elisha,painting by Giorgio Vasari,Giorgio Vasari 001.jpg
Q20188857,46693,"Banks of the Seine, Vétheuil",painting by Claude Monet,"Claude Monet - Au Bord de la Seine, près de Vétheuil.jpg"
Q55646923,46695,Nativity,painting by Konrad von Soest,Soest-Geburt-Christi.jpg
Q19681574,46700,The Marketplace in Pirna,painting by Bernardo Bellotto (Gemäldegalerie Alte Meister),Canaletto (I) 021.jpg
Q19905274,46702,Bouquet of Sunflowers,painting by Claude Monet,Claude Monet 052.jpg
Q19820262,46720,Landscape with Noli ne tangere Scene,painting by Claude Lorrain,Claude Lorrain 025.jpg
Q28795868,46721,The Banishment of Hagar,painting by Claude Lorrain (Claude Gellée),Claude Lorrain - Die Verstoßung der Hagar (1668).jpg
Q7731855,46725,The Embarkation of the Queen of Sheba,painting by Claude Lorrain,Claude Lorrain 008.jpg
Q29648866,46726,The Sacrifice of Isaac,painting by Brunswick Monogrammist,Braunschweiger Monogrammist 001.jpg
Q26514337,46727,Landscape with David at the Cave of Adullam,painting by Claude,Claude Lorrain 016.jpg
Q1720631,46732,Castelfranco Madonna,Altarpiece by Giorgione,Giorgione - Pala di Castelfranco.jpg
Q9335245,46742,The Apparition of the Angel to St. Joseph,"painting by Georges de La Tour in the Musée des Beaux-Arts, Nantes, France",Georges de La Tour 022.jpg
Q3907503,46751,Polyptych of Madonna and child with saints,1468 alterpiece by by Carlo Crivelli,Carlo Crivelli 023.jpg
Q3210253,46759,Magdalene with the Smoking Flame,painting by Georges de La Tour,Georges de La Tour 007.jpg
Q3210250,46763,The Repentant Magdalen,painting by Georges de La Tour,Georges de La Tour 006.jpg
Q8774031,46764,The Newborn,painting by Georges de la Tour,Georges de La Tour - Newlyborn infant - Musée des Beaux-Arts de Rennes.jpg
Q13571392,46766,The Seine at La Grande Jatte,painting by Georges Seurat,Georges Seurat 026.jpg
Q3697604,46982,Christ Crucified,painting by Cosimo Tura,Cosmè Tura 008.jpg
Q20810214,46983,Saint Peter,painting by Cosimo Tura,Saint Peter by Cosimo Tura.jpg
Q18565829,46984,Pietà,painting by Cosimo Tura,Cosmè Tura 031.jpg
Q20173919,46986,The Annunciation with Saint Francis and Saint Louis of Toulouse [middle left panel],painting by Cosme Tura,Cosmè Tura 035.jpg
Q99571360,46987,Judith with the Head of Holofernes,painting by Cristofano Allori (Pitti),Cristofano Allori 002.jpg
Q56323804,46988,Elijah in the Desert,painting by Daniele da Volterra,Daniele da Volterra 001.jpg
Q3843027,47002,"Madonna Enthroned with the Child, St Francis and Four Angels",painting by Cimabue,Cimabue 018.jpg
Q2067212,47415,Lamentation,fresco by Giotto di Bondonne,Giotto di Bondone 009.jpg
Q27697219,47430,Christ Blessing,painting by Fernando Gallego,Fernando Gallego 001.jpg
Q87464946,47444,Adoration of the Magi,painting by Francisco de Zurbarán,Francisco de Zurbarán 004.jpg
Q18600958,47445,The Holy Face,painting by Francisco de Zurbaran,Francisco de Zurbarán 011.jpg
Q4693305,47446,Agnus Dei,painting by Francisco de Zurbarán,Francisco de Zurbarán 006.jpg
Q50113014,47453,Joseph interpreteting the Dreams in Peison,painting by Wilhelm Schadow,Friedrich Wilhelm Schadow 002.jpg
