bad_qid,bad_class,good_qid,bad_label,image
Q2942886,Anglican or episcopal cathedral,Q2942886,"Holy Trinity Cathedral, Port-au-Prince",PortAuPrinceMural.jpg
Q355903,human,Q355903,Siger of Brabant,Dante Pd10 Kopenhagen MS Thott 411.2.jpg
Q1341397,human,Q1341397,Michal,Michal Gustave Doré.jpg
Q733890,minor basilica,Q733890,Santa Prassede,"Interior of Basilica di Santa Prassede, Rome.JPG"
Q6306155,human,Q6306155,Julia A. J. Foote,Julia A. J. Foote.jpg
Q81240,literary work,Q81240,Judges,Giovanni Antonio Pellegrini 001.jpg
Q3867348,human biblical figure,Q3867348,Zophar,Kievskaya psaltir iov 02.jpg
Q6399196,icon,Q6399196,Khakhuli triptych,Georgia Khakhuli triptych.jpg
Q2920073,human,Q2920073,Mentewab,Nerga Sellasie.jpg
Q1174304,human,Q1174304,David Edward Cronin,Great Dismal Swamp-Fugitive Slaves.jpg
Q325267,HII,Q325267,Moses Smashing the Tablets of the Law,Rembrandt - Moses with the Ten Commandments - Google Art Project.jpg
Q2318992,church building,Q2318992,St. Jakobus der Ältere (Todtnauberg),Todtnau - St. Jakobus der Ältere3.jpg
Q5464245,manuscript,Q5464245,Folchard Psalter,Folchard 001.jpg
Q2346367,human biblical figure,Q2346367,Hannah,Anne BnF Grec 139 fol. 428v.jpg
Q4416778,human biblical figure,Q4416778,Abigail,Antonio Molinari David y Abigail.jpg
Q199496,human,Q199496,John VII,Byzantinischer Mosaizist um 705 002.jpg
Q2274548,GR footpath,Q2274548,French Way in Aragon,Poste Camino de Santiago.jpg
Q606424,manuscript,Q606424,Codex Washingtonianus,Codex Washingtonensis W 032.JPG
Q1106441,manuscript,Q1106441,Rossano Gospels,RossanoGospelsChristBeforePilate.jpg
Q223385,tourist attraction,Q223385,Cueva de las Manos,SantaCruz-CuevaManos-P2210651b.jpg
Q6431805,church building,Q6431805,Korean Central Presbyterian Church,Korean Central Presbyterian Church.jpg
Q6688204,Wikimedia template,Q6688204,Template:Asia-church-stub,Sacré-Cœur de Shizhi.jpg
Q478195,pike,Q478195,Holy Lance,Fra Angelico 027.jpg
Q2048084,chapel,Q2048084,Pallottihaus,Pallottihaus 03.jpg
Q261010,human,Q261010,Jeanne Jugan,Jeanne Jugan.jpg
Q1655766,church building,Q25152561,Church of the Light,Church of Light.JPG
Q1365170,Roman Catholic metropolitan archdiocese,Q1365170,Roman Catholic Archdiocese of N'Djamena,"Church in Fort Lamy, Chad.jpg"
Q554947,monastery,Q554947,Tatev monastery,"Monasterio de Tatev, Armenia, 2016-10-01, DD 86-88 HDR.jpg"
Q4199030,icon,Q4199030,Our Lady of the Unexpected Joy,Our Lady the Unexpected Joy.jpeg
Q211246,human biblical figure,Q211246,Caiaphas,"Mattias Stom, Christ before Caiaphas.jpg"
Q3613127,cycle of paintings,Q3613127,Christ before Pilate,Meister Bertram von Minden 010.jpg
Q3613127,cycle of paintings,Q3613127,Christ before Pilate,Meister Bertram von Minden 011.jpg
Q457575,human,Q457575,Manche Masemola,WestminsterAbbey-Martyrs.jpg
Q379691,human,Q379691,Romuald,Bieniszew romuald.JPG
Q379691,human,Q379691,Romuald,Fra Angelico 032.jpg
Q1873244,human biblical figure,Q1873244,Bithiah,Dura Europos fresco Moses from river.jpg
Q184030,book of the Bible,Q184030,Book of Hosea,Duccio di Buoninsegna 063.jpg
Q2558835,rank,Q2558835,Christ the King,Hubert van Eyck 023.jpg
Q606424,Gospel Book,Q606424,Codex Washingtonianus,Codex Washingtonensis W 032.JPG
Q5785920,religious building,Q5785920,,"Ex Convento de San Agustín, Guanajuato (32830402820).jpg"
Q602530,triptych,Q602530,Baptism of Christ,"Doopsel van Christus, circa 1502 - circa 1508, Groeningemuseum, 0040009000.jpg"
Q2089788,human,Q2089788,Lidi van Mourik Broekman,Weduwe met kind Lidi Buma Ossenmarkt Weesp v1.JPG
Q3613127,polyptych,Q3613127,Christ before Pilate,Meister Bertram von Minden 010.jpg
Q3613127,polyptych,Q3613127,Christ before Pilate,Meister Bertram von Minden 011.jpg
Q2596433,human biblical figure,Q2596433,Naomi,1795-William-Blake-Naomi-entreating-Ruth-Orpah.jpg
Q744415,human,Q744415,Rohan Master,Meister von Heiligenkreuz 001.jpg
Q3079224,miracles of Jesus,Q3079224,Jesus healing the bleeding woman,Healing of a bleeding women Marcellinus-Peter-Catacomb.jpg
Q1341397,human biblical figure,Q1341397,Michal,Michal Gustave Doré.jpg
Q6254238,historic house museum,Q6254238,John Rankin House,Rankin house looking up path 2005.jpg
Q81240,religious text,Q81240,Judges,Giovanni Antonio Pellegrini 001.jpg
Q580452,human,Q580452,Albrecht Kauw,Albrecht Kauw 001.jpg
Q139797,human,Q139797,Zacchaeus of Jerusalem,Madaba Jerusalem Mosaic.jpg
Q3663206,cemetery,Q3663206,Catacombs of San Gennaro,Catacombe Di San Gennaro Fresco.jpg
Q4224666,religious text,Q4224666,Books of Kings,Saabaghiberti.jpg
Q1332178,art movement,Q3624153,Sienese School,Simone Martini and Lippo Memmi - The Annunciation and Two Saints - WGA15010.jpg
Q6399196,triptych,Q6399196,Khakhuli triptych,Georgia Khakhuli triptych.jpg
