,accession_number,language,ratio,partial_ratio,sort_ratio,set_ratio,w_ratio
215,1972.090,fr,5,33,5,6,38
216,1972.092,und,0,0,0,0,0
217,1973.009,und,20,9,27,27,30
218,1973.010,und,0,0,0,0,0
219,1973.020,fr,28,41,44,65,86
220,1973.021,fr,2,33,2,3,38
221,1973.022,sr,0,0,0,0,0
222,1974.007,und,0,0,0,0,0
223,1974.024,en,25,54,25,67,86
224,1974.026,la,20,40,27,54,86
225,1974.027,en,16,43,17,47,57
226,1974.029,und,8,8,20,20,20
227,1974.030,und,0,0,7,7,18
228,1975.006,pt,32,32,33,33,36
229,1975.020,hi,3,6,17,17,26
230,1975.038,en,38,97,37,90,87
231,1975.040,es,4,67,5,5,40
232,1975.041,fr,4,33,6,6,38
233,1975.042,lb,8,33,8,8,40
234,1975.043,en,5,33,11,11,40
235,1975.045,fr,0,0,0,0,0
236,1975.054,en,27,37,40,40,86
237,1976.001,no,22,23,23,23,28
238,1976.003,it,2,41,2,3,26
239,1976.005,en,19,59,29,100,90
240,1976.006,en,11,40,14,100,58
241,1976.007,en,1,33,3,4,40
242,1976.008,en,13,33,13,13,30
243,1976.011,en,18,24,21,21,37
244,1976.014,it,23,29,31,31,30
245,1976.027,und,0,0,0,0,0
246,1976.028,und,0,0,0,0,0
247,1976.029,und,0,0,33,33,33
248,1976.031,de,0,0,0,0,0
249,1976.032,und,0,0,15,15,30
250,1977.007,und,11,15,22,21,34
251,1977.011,ar,6,7,7,7,22
252,1977.013,co,0,0,27,27,60
253,1977.014,und,5,6,16,16,16
254,1978.027,und,2,5,17,18,27
255,1979.0095,en,15,67,24,24,60
256,1979.0171,en,15,18,27,27,33
257,1979.0346P,es,13,67,14,14,40
258,1979.0372P,und,32,38,42,42,39
259,1979.0404P,en,4,85,4,83,57
260,1979.0688P,und,22,50,17,17,45
261,1979.0707P,hu,30,46,30,30,34
262,1979.0719P,en,23,30,29,29,86
263,1979.0721P,fy,30,36,30,30,30
264,1979.0801P,en,9,67,9,9,40
265,1979.0804P,en,24,25,95,100,95
266,1979.0806P,en,70,72,98,100,95
267,1979.0839P,fr,36,43,39,38,42
268,1979.0840P,fr,6,12,20,20,34
269,1979.0841P,fr,31,40,40,40,38
270,1979.0842P,fr,7,33,9,11,30
271,1979.0843P,fr,0,0,0,0,0
272,1979.0844P,fr,33,38,34,34,37
273,1979.0845P,fr,18,38,23,23,34
274,1979.0846P,fr,18,38,23,23,34
275,1979.0847P,fr,27,38,38,38,40
276,1979.0849P,es,21,22,23,23,30
277,1979.0850P,fr,22,27,27,27,30
278,1979.0851P,it,6,33,7,7,20
279,1979.0852P,fr,25,73,30,78,86
280,1979.0853P,fr,26,73,31,78,86
281,1979.0857P,fr,33,38,38,38,36
282,1979.0859P,fr,10,33,11,11,30
283,1979.0860P,co,19,36,26,26,38
284,1979.0861P,fr,24,38,26,26,45
285,1979.0887P,fr,27,42,27,28,42
286,1979.0888P,fr,24,44,28,30,86
287,1979.0889P,fr,25,44,25,28,43
288,1979.0890P,fr,23,43,26,27,86
289,1979.0891P,de,26,41,29,29,86
290,1979.0892P,de,26,45,32,36,86
291,1979.0893P,de,28,44,28,32,86
292,1979.0894P,fr,28,43,32,34,86
293,1979.0915P,fr,6,33,7,7,20
294,1979.0920P,en,54,58,63,80,76
295,1979.0923P,la,27,40,38,38,86
296,1979.0925P,fr,1,33,2,2,40
297,1979.0926P,fr,3,67,3,3,40
298,1979.0927P,fr,2,33,2,2,40
299,1979.0928P,fr,3,33,3,3,38
300,1979.0929P,fr,2,33,3,3,38
301,1979.0931P,fr,2,67,2,2,20
302,1979.0932P,fr,2,33,2,2,38
303,1979.0933P,fr,2,33,2,2,38
304,1979.0934P,fr,2,67,3,3,40
305,1979.0935P,fr,2,33,2,2,20
306,1979.0936P,fr,2,33,2,2,38
307,1979.0937P,fr,2,33,2,2,38
308,1979.0938P,fr,2,33,2,2,38
