qid,label_en,author_uuid,author,author_ordinal,author_ref1_hash,author_ref1_statedIn,author_ref1_referenceUrl,author_ref1_retrieved_nodeId,author_ref1_retrieved_val,author_ref1_retrieved_prec
Q64094757,Using information literacy to teach medical entrepreneurship and health care economics,00F16F2A-767A-4B36-BAB3-14B02A45A593,Q90285096,2,1585480dd04d84a3c5b0b41a06e2f7ad0468461c,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:31019384%20AND%20SRC:MED&resulttype=core&format=json,d076f0c12b853e92b0cfb14ecba77683,2020-04-12T00:00:00Z,11
Q64094757,Using information literacy to teach medical entrepreneurship and health care economics,5937EDEF-3C79-43DE-A4AF-710269945E87,Q90285091,1,1585480dd04d84a3c5b0b41a06e2f7ad0468461c,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:31019384%20AND%20SRC:MED&resulttype=core&format=json,d076f0c12b853e92b0cfb14ecba77683,2020-04-12T00:00:00Z,11
Q64107659,Bridging the childhood epilepsy treatment gap in northern Nigeria (BRIDGE): Rationale and design of pre-clinical trial studies,DEAB9977-3638-485B-A736-F98C1A961900,Q61275286,19,15be02f419a8c29a5ba8e1caa9746728866c0e32,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:31049462%20AND%20SRC:MED&resulttype=core&format=json,0b6f074f96a2dc28888879ab5ce70cf6,2020-04-24T00:00:00Z,11
Q64107659,Bridging the childhood epilepsy treatment gap in northern Nigeria (BRIDGE): Rationale and design of pre-clinical trial studies,AC198047-9CD1-4C30-B441-9DCF8D97A085,Q101542393,16,15be02f419a8c29a5ba8e1caa9746728866c0e32,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:31049462%20AND%20SRC:MED&resulttype=core&format=json,0b6f074f96a2dc28888879ab5ce70cf6,2020-04-24T00:00:00Z,11
Q84497057,Training and hackathon on building biodiversity knowledge graphs,89703641-5695-42F9-9727-F5042D385D3E,Q7356570,2,,,,,,
Q84497057,Training and hackathon on building biodiversity knowledge graphs,B5D38D6C-AC62-476C-A276-52B772C5A809,Q40670042,3,,,,,,
Q89036071,XQuery for Humanists,9327b3d7-400e-5927-2f9c-4683cc495c3a,Q38099106,1,,,,,,
Q89036071,XQuery for Humanists,3b8dc755-4f3f-5a63-7472-a1c73eb9a4e2,Q91351173,2,,,,,,
Q89718518,Digital Humanities and Libraries and Archives in Religious Studies,477988E0-CB19-4F9B-9302-CF6FE6A47C61,Q38099106,,,,,,,
Q90378138,Geospatial distribution and characteristics of eosinophilic gastrointestinal disorder clinics in the United States,9DE48366-2610-4468-94D6-EC2FC0A90CF3,Q101542393,4,259f544327d5e6ce7104ade52861abf15e055f0a,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:31568856%20AND%20SRC:MED&resulttype=core&format=json,7f7e4e699031399fd367a464ab3a84c4,2020-04-13T00:00:00Z,11
Q90378138,Geospatial distribution and characteristics of eosinophilic gastrointestinal disorder clinics in the United States,AE719DDD-2A2B-4A80-8CB4-1401984D4C14,Q90378132,1,259f544327d5e6ce7104ade52861abf15e055f0a,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:31568856%20AND%20SRC:MED&resulttype=core&format=json,7f7e4e699031399fd367a464ab3a84c4,2020-04-13T00:00:00Z,11
Q91634330,Building visualization skills through investigating the Journal of the Medical Library Association coauthorship network from 2006-2017,37FAF3FA-4DDF-46E1-A847-D9D96AFA7C50,Q90285091,2,af87d93f896dfaa8771c63cb645ab76145f91ea9,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:32256234%20AND%20SRC:MED&resulttype=core&format=json,8b7f260d6236d75e3ddb363710fb71fe,2020-04-23T00:00:00Z,11
Q92816961,Reevaluating Point-of-Care Resources: Community Engagement in Difficult Collection Choices,D20769EB-11B7-4E0A-88C7-8AF417592AB2,Q92816957,3,9b96272b1af5800338840720122896bc7e1c386c,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:30942683%20AND%20SRC:MED&resulttype=core&format=json,84d9aa83a21d1200da929736fd328e52,2020-05-01T00:00:00Z,11
Q92816961,Reevaluating Point-of-Care Resources: Community Engagement in Difficult Collection Choices,E86BB375-8975-4868-9ED1-C0B3DB0A5E3A,Q92816953,2,9b96272b1af5800338840720122896bc7e1c386c,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:30942683%20AND%20SRC:MED&resulttype=core&format=json,84d9aa83a21d1200da929736fd328e52,2020-05-01T00:00:00Z,11
Q92816961,Reevaluating Point-of-Care Resources: Community Engagement in Difficult Collection Choices,EFAB804D-8C73-48EB-BFB9-68288F675FE2,Q79961247,1,9b96272b1af5800338840720122896bc7e1c386c,Q5412157,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:30942683%20AND%20SRC:MED&resulttype=core&format=json,84d9aa83a21d1200da929736fd328e52,2020-05-01T00:00:00Z,11
Q93371623,A Study on Cultural Linguistics,8fa4d28f-46d5-6711-852f-8f8a0725b096,Q86508191,,be7d42867af468f7d43fc83a1f37ce414532b8c4,,https://as.vanderbilt.edu/asianstudies/people/liuj.php,2fc464f6b935eb99c4006786ef4f1a58,2020-06-07T00:00:00Z,11
